,total_h_index
0,Carnegie Mellon University
1,Univ. of California - Berkeley
2,Univ. of Illinois at Urbana-Champaign
3,Univ. of California - San Diego
4,Massachusetts Institute of Technology
5,Georgia Institute of Technology
6,University of Maryland - College Park
7,University of Edinburgh
8,Stanford University
9,University of Michigan
10,University of Toronto
11,Universidade de Lisboa
12,Tsinghua University
13,University of Washington
14,Northeastern University
15,EPFL
16,Cornell University
17,Technion
18,University College London
19,University of Oxford
20,Nanyang Technological University
21,KAIST
22,Indiana University
23,Shanghai Jiao Tong University
24,Univ. of California - Irvine
25,University of Waterloo
26,New York University
27,Peking University
28,Columbia University
29,National University of Singapore
30,University of Pennsylvania
31,Purdue University
32,Imperial College London
33,University of Utah
34,University of Wisconsin - Madison
35,Univ. of California - Los Angeles
36,Stony Brook University
37,Chinese Academy of Sciences
38,ETH Zurich
39,Monash University
40,Politecnico di Milano
41,Pennsylvania State University
42,University of Southern California
43,Sapienza University of Rome
44,Max Planck Society
45,University of Melbourne
46,University of Southampton
47,TU Munich
48,University of Texas at Austin
49,University of British Columbia
50,HKUST
51,CUNY
52,TU Delft
53,University of Colorado Boulder
54,Zhejiang University
55,Duke University
56,Rutgers University
57,Texas A&M University
58,Princeton University
59,KTH Royal Institute of Technology
60,University of Massachusetts Amherst
61,Chinese University of Hong Kong
62,Graz University of Technology
63,Seoul National University
64,University of Minnesota
65,University at Buffalo
66,University of Central Florida
67,University of Cambridge
68,TU Berlin
69,KU Leuven
70,Hebrew University of Jerusalem
71,Harbin Institute of Technology
72,University of Tokyo
73,University of Liverpool
74,CRIStAL
75,Univ. of California - Santa Cruz
76,Simon Fraser University
77,University of Alberta
78,Virginia Tech
79,Radboud University
80,Univ. of California - Davis
81,Univ. of California - Santa Barbara
82,VU Amsterdam
83,University of Chicago
84,Tel Aviv University
85,University of North Carolina
86,George Mason University
87,Nanjing University
88,Rochester Institute of Technology
89,University of Copenhagen
90,Northwestern University
91,Xidian University
92,Univ. of California - Riverside
93,Australian National University
94,University of Sydney
95,TU Wien
96,UNSW
97,UESTC
98,University of Queensland
99,Oregon State University
100,IT University of Copenhagen
101,University of Tennessee
102,University of Salerno
103,University of Trento
104,Boston University
105,University of York
106,University of Essex
107,University of Pittsburgh
108,UFMG
109,Vanderbilt University
110,Johns Hopkins University
111,Ohio State University
112,University of Sheffield
113,University of Tübingen
114,University of Nottingham
115,University of Illinois at Chicago
116,Arizona State University
117,Aalto University
118,University of Warwick
119,Weizmann Institute of Science
120,University of Technology Sydney
121,North Carolina State University
122,University of Kent
123,City University of Hong Kong
124,Singapore Management University
125,Queen Mary University of London
126,Brown University
127,Yale University
128,Rice University
129,Lancaster University
130,Harvard University
131,Michigan State University
132,University of Birmingham
133,University of Virginia
134,Uppsala University
135,University of Manchester
136,University of Montreal
137,RWTH Aachen
138,University of Stuttgart
139,University of Ottawa
140,Saarland University
141,Victoria University of Wellington
142,University of Texas at Dallas
143,University College Dublin
144,TU Eindhoven
145,RMIT University
146,Ecole Normale Superieure de Lyon
147,University of Glasgow
148,Utrecht University
