,total_h_index
307,Binghamton University
308,Macquarie University
309,University of Bristol
310,IIT Kanpur
311,University of Copenhagen
312,Iowa State University
313,Sapienza University of Rome
314,University of New Mexico
315,University of Louisiana - Lafayette
316,Florida Atlantic University
317,UFMG
318,CISPA Helmholtz Center
319,Polytechnique Montreal
320,University of Klagenfurt
321,KTH Royal Institute of Technology
322,Georgia State University
323,Beihang University
324,Clemson University
325,Kyung Hee University
326,Virginia Tech
327,Wayne State University
328,University of Magdeburg
329,Universidade de Lisboa
330,University of Leeds
331,PUC-RIO
332,UESTC
333,Auburn University
334,Virginia Commonwealth University
335,University of Dundee
336,NTUA
337,University of L'Aquila
338,Dalhousie University
339,University of Liverpool
340,University of Michigan-Dearborn
341,University of Lübeck
342,Ryerson University
343,University of Trier
344,University of Münster
345,University of Victoria
346,Xidian University
347,University of Mainz
348,Tokyo Institute of Technology
349,University of Birmingham
350,University of Georgia
351,TU Eindhoven
352,Nanjing University
353,Universidad de Chile
354,IISc Bangalore
355,University of Oklahoma
356,University of Tulsa
357,Birkbeck University of London
358,Aalborg University
359,University of Pisa
360,National Chiao Tung University
361,Florida Institute of Technology
362,Harbin Institute of Technology
363,University of New Hampshire
364,University of Sheffield
365,IIT Bombay
366,Waseda University
367,University of Molise
368,Koç University
369,IIT Gandhinagar
370,Kansas State University
371,University of Alabama - Birmingham
372,IIT Bhubaneswar
373,TU Ilmenau
374,Xi'an Jiaotong University
375,Jacobs University Bremen
376,City University of London
377,University of Rostock
378,DePaul University
379,Open University UK
380,University of Halle-Wittenberg
381,Utrecht University
382,Old Dominion University
383,IIIT Hyderabad
384,Royal Holloway University of London
385,University of Louisville
386,University of Koblenz-Landau
387,Syracuse University
388,Özyeğin University
389,University of Sussex
390,University of Salzburg
391,University of Aberdeen
392,University of Tartu
393,National Tsing Hua University
394,University College Dublin
395,University of Iowa
396,Claremont Graduate University
397,University of Ioannina
398,University of Vermont
399,University of Piraeus
400,University of North Texas
401,Aarhus University
402,National Cheng Kung University
403,Aberystwyth University
404,Cardiff University
405,Nova Southeastern University
406,University of Szeged
407,Western Michigan University
408,Concordia University
409,IIT Kharagpur
410,IIT Delhi
411,University of Kentucky
412,Portland State University
413,University of Bayreuth
414,Cyprus University of Technology
415,Fudan University
416,University of Salerno
417,Brandenburg University of Technology
418,TU Clausthal
419,Boğaziçi University
420,University of Oldenburg
421,University of Osnabrück
422,King's College London
423,IIT Mandi
424,PUC-RS
425,IUPUI
426,Tulane University
427,Yonsei University
428,The University of Alabama
429,University of Maine
430,Keio University
431,University of Bamberg
432,IT University of Copenhagen
433,Queen's University Belfast
434,University of Missouri - Kansas City
435,University of Essex
