college,total_citations
UESTC,268072.0
Univ. of Maryland - Baltimore County,265560.0
City University of Hong Kong,264316.0
University of Warwick,262237.0
Uppsala University,258718.0
Aalto University,256294.0
University of Ottawa,251877.0
JKU Linz,249652.0
TU Darmstadt,241373.0
Czech Technical University,241303.0
University of Arizona,240972.0
University of Auckland,240846.0
Xidian University,239975.0
UFMG,239442.0
NJIT,239257.0
Singapore Management University,238702.0
IT University of Copenhagen,235930.0
Washington State University,229865.0
Saarland University,229742.0
University of Surrey,228878.0
King's College London,227996.0
University of Hong Kong,227526.0
IST Austria,224965.0
Bar-Ilan University,224112.0
University of Helsinki,222933.0
University of Technology Sydney,222372.0
USTC,222307.0
MBZUAI,222259.0
McGill University,220390.0
Lancaster University,216915.0
Tampere University,215456.0
Univ. of California - Merced,214267.0
University of Nottingham,212662.0
University of Sheffield,211882.0
TTI Chicago,210414.0
University of Florida,208629.0
University of South Florida,207867.0
IIT Guwahati,206845.0
University of Calgary,204392.0
Temple University,204053.0
University of Essex,202726.0
University of Connecticut,202486.0
CRIStAL,200595.0
Soochow University,199232.0
Polytechnic University of Catalonia,197408.0
Worcester Polytechnic Institute,196815.0
Rensselaer Polytechnic Institute,195902.0
University of Bremen,195402.0
Dartmouth College,192836.0
University of Salerno,191933.0
University of Birmingham,188547.0
University of Bristol,187908.0
Chalmers/GU,187386.0
EURECOM,184200.0
University of Houston,182276.0
Brunel University London,182131.0
University of Glasgow,181247.0
POSTECH,179570.0
National Chiao Tung University,176798.0
Utrecht University,174400.0
Carleton University,171430.0
Aarhus University,170314.0
NWPU,168642.0
Kyoto University,168500.0
Cardiff University,167399.0
University of Massachusetts Lowell,165860.0
NTUA,165263.0
University College Dublin,164752.0
Hasso Plattner Institute,164162.0
University of Nebraska,163803.0
University of Pisa,162059.0
University of Vienna,161633.0
Aalborg University,161301.0
Clemson University,161229.0
Ecole Normale Superieure de Cachan,158644.0
HSE University,157610.0
University of Leipzig,156624.0
Emory University,155623.0
Ecole Normale Superieure de Lyon,150611.0
IIIT Hyderabad,150363.0
IIT Kanpur,148910.0
Osaka University,147075.0
University of Athens,146661.0
Tokyo Institute of Technology,145572.0
University of Erlangen–Nuremberg,145050.0
BUPT,144277.0
IISc Bangalore,143434.0
University of Klagenfurt,142871.0
Iowa State University,141787.0
University of South Carolina,141048.0
University of Delaware,140699.0
Goethe University Frankfurt,140451.0
RMIT University,138746.0
Florida State University,138578.0
Bilkent University,138142.0
CISPA Helmholtz Center,137968.0
University of Crete,137848.0
University of Piraeus,135795.0
Macquarie University,133415.0
SUTD,132922.0
AUEB,132776.0
IIT Kharagpur,132772.0
City University of London,132756.0
University of Bath,132291.0
