college,avg_h_index
Westlake University,67.66666666666667
Univ. of California - Berkeley,64.86138613861387
California Institute of Technology,61.2
Stanford University,60.65079365079365
Weizmann Institute of Science,58.875
Massachusetts Institute of Technology,58.0
NYU Shanghai,57.333333333333336
University of Freiburg,56.375
Max Planck Society,56.15384615384615
ETH Zurich,56.146341463414636
Univ. of California - Los Angeles,55.80487804878049
Harvard University,54.9375
Princeton University,53.45
Columbia University,52.517857142857146
Western University,51.857142857142854
The Hong Kong Polytechnic University,51.1764705882353
Hasso Plattner Institute,50.61538461538461
Johns Hopkins University,50.53125
EPFL,50.22950819672131
Carnegie Mellon University,48.78698224852071
University of Pennsylvania,47.885245901639344
University of Rochester,47.578947368421055
LMU Munich,47.56521739130435
University of Southern California,46.97959183673469
NWPU,46.92857142857143
TTI Chicago,46.92307692307692
University of Bremen,46.625
KAUST,46.333333333333336
HKUST,46.301886792452834
Nanyang Technological University,46.28125
University of Bern,45.75
University of Minnesota,45.725
Univ. of Illinois at Urbana-Champaign,45.278260869565216
University of Washington,45.08
Queen’s University,45.04545454545455
University of Southern Mississippi,44.0
Cornell University,43.90909090909091
RWTH Aachen,43.82142857142857
Univ. of California - San Diego,43.54621848739496
University of Maryland - College Park,43.20618556701031
TU Munich,43.12
Chinese University of Hong Kong,43.0
University of Mannheim,43.0
University of Stuttgart,42.75
Università della Svizzera italiana,42.73076923076923
Univ. of California - Santa Barbara,42.53846153846154
University of Texas at Austin,42.38
Yale University,41.625
New York University,41.55882352941177
University College London,41.35443037974684
Univ. of California - Irvine,41.35294117647059
Michigan State University,41.26470588235294
University of Oxford,41.231884057971016
TU Berlin,41.214285714285715
University of Luxembourg,41.07692307692308
Georgia Institute of Technology,40.70192307692308
University of Leipzig,40.166666666666664
Rice University,40.16129032258065
Vanderbilt University,40.125
TU Darmstadt,39.96296296296296
MBZUAI,39.85
University of Hildesheim,39.666666666666664
USTC,39.45454545454545
Brown University,39.44117647058823
Sun Yat-sen University,39.4
University of Notre Dame,39.354838709677416
Duke University,39.26923076923077
Texas A&M at Qatar,39.25
Washington University in St. Louis,39.172413793103445
Imperial College London,39.03125
Pennsylvania State University,38.96491228070175
Ecole Normale Superieure,38.96
University of Michigan,38.9468085106383
University of Zurich,38.93333333333333
University of Amsterdam,38.875
University of North Carolina,38.875
University of Alberta,38.84782608695652
Tel Aviv University,38.825
University of Konstanz,38.69230769230769
Hebrew University of Jerusalem,38.67391304347826
University of Tübingen,38.628571428571426
University of Tennessee,38.625
Karlsruhe Institute of Technology,38.6
Ohio State University,38.5
Stony Brook University,38.49152542372882
Bielefeld University,38.22222222222222
Saarland University,38.21875
University of Edinburgh,38.04950495049505
Simula UiB,38.0
Georgetown University,38.0
Univ. of Maryland - Baltimore County,37.81481481481482
University of Trento,37.794871794871796
Queen Mary University of London,37.77142857142857
University of Cambridge,37.6530612244898
Bauhaus University Weimar,37.5
Univ. of California - Merced,37.5
Northeastern University,37.45783132530121
Hong Kong Baptist University,37.4
University of Toronto,37.18279569892473
CWI,37.12903225806452
University of Chicago,37.09756097560975
Rensselaer Polytechnic Institute,36.95
University of Manchester,36.89473684210526
Bar-Ilan University,36.875
TU Braunschweig,36.84615384615385
Scuola Superiore Sant'Anna,36.8
Univ. of California - Davis,36.79545454545455
Tsinghua University,36.78947368421053
Technion,36.74390243902439
University of Marburg,36.666666666666664
University of Montreal,36.575
University of Hong Kong,36.53846153846154
University of Bonn,36.46666666666667
Ecole Normale Superieure de Cachan,36.22222222222222
University of Utah,36.140625
Arizona State University,36.054054054054056
Northwestern University,35.97727272727273
Colorado State University,35.94117647058823
University of British Columbia,35.91525423728814
University of Missouri,35.81818181818182
University of Adelaide,35.8
University of Innsbruck,35.714285714285715
Univ. of California - Riverside,35.674418604651166
Universidad Rey Juan Carlos,35.6
TU Dortmund,35.583333333333336
EURECOM,35.57692307692308
University of South Florida,35.57142857142857
Victoria University of Wellington,35.486486486486484
University of Texas at Arlington,35.483870967741936
University of Würzburg,35.46153846153846
National University of Singapore,35.40845070422535
University of Kassel,35.333333333333336
Temple University,35.333333333333336
University of Virginia,35.32432432432432
University of Wisconsin - Madison,35.231884057971016
KU Leuven,35.1875
University of Queensland,35.170212765957444
University of Melbourne,35.10769230769231
Graz University of Technology,35.03921568627451
IMDEA Networks Institute,35.0
Rutgers University,35.0
City University of Hong Kong,34.92307692307692
University of Erlangen–Nuremberg,34.90909090909091
University of Newcastle,34.8
Brno University of Technology,34.8
University of Saskatchewan,34.76470588235294
University of Kansas,34.705882352941174
University of Texas at Dallas,34.666666666666664
University of Sydney,34.30232558139535
TU Dresden,34.25
University of Vienna,34.21052631578947
Heidelberg University,34.21052631578947
University of Manitoba,34.2
University of Tokyo,34.148148148148145
University at Buffalo,34.13461538461539
National Taiwan University,34.074074074074076
University of Passau,33.666666666666664
University of Helsinki,33.62068965517241
Missouri University of Technology,33.6
Simon Fraser University,33.541666666666664
Purdue University,33.53521126760563
Emory University,33.526315789473685
VU Amsterdam,33.52
TU Wien,33.46666666666667
University of Athens,33.40909090909091
University of Groningen,33.27272727272727
JKU Linz,33.241379310344826
University of Massachusetts Boston,33.23076923076923
Humboldt University of Berlin,33.13333333333333
University of Arizona,33.125
Carleton University,33.095238095238095
McGill University,33.07142857142857
Goethe University Frankfurt,33.0625
TU Kaiserslautern,33.0
Qatar Computing Research Institute,33.0
University of Waikato,32.925925925925924
Czech Technical University,32.925925925925924
Boston University,32.88095238095238
University of Kent,32.86046511627907
University of Surrey,32.851851851851855
Texas A&M University,32.83606557377049
University of Western Australia,32.6875
Ben-Gurion University of the Negev,32.666666666666664
Ruhr-University Bochum,32.666666666666664
University of Calgary,32.64705882352941
University of Sannio,32.61538461538461
Chinese Academy of Sciences,32.594202898550726
Politecnico di Milano,32.544117647058826
Shanghai Jiao Tong University,32.529411764705884
University of Hamburg,32.5
University of Ottawa,32.404761904761905
University of Pittsburgh,32.4
Dartmouth College,32.34782608695652
University of Houston,32.333333333333336
University of Connecticut,32.310344827586206
University of Oklahoma,32.25
University of Oregon,32.22222222222222
University of L'Aquila,32.22222222222222
Seoul National University,32.2
University of Potsdam,32.1
University of Hannover,32.05
Univ. of California - Santa Cruz,32.03389830508475
University of Crete,32.0
University of Otago,31.923076923076923
Université libre de Bruxelles,31.875
ETS Montreal,31.866666666666667
Peking University,31.84375
University of Massachusetts Amherst,31.75
University of Waterloo,31.53488372093023
Lund University,31.363636363636363
Wuhan University,31.25
University of Canterbury,31.181818181818183
Paderborn University,31.176470588235293
York University,31.161290322580644
Indiana University,31.15463917525773
Oregon State University,31.148936170212767
University of Memphis,31.125
Zhejiang University,31.085714285714285
University of Florida,31.058823529411764
University of Ulm,31.0
University of Central Florida,30.982758620689655
University of Glasgow,30.89189189189189
Singapore Management University,30.878048780487806
University of Colorado Boulder,30.84931506849315
Freie Universitaet Berlin,30.8
University of York,30.775510204081634
University of Miami,30.714285714285715
UCCS,30.714285714285715
University of Nebraska,30.708333333333332
University of Düsseldorf,30.692307692307693
George Mason University,30.615384615384617
University of Trier,30.6
University of Kiel,30.6
Monash University,30.56578947368421
Northern Arizona University,30.545454545454547
George Washington University,30.545454545454547
University of Molise,30.5
NTUA,30.5
Aalto University,30.488372093023255
TU Delft,30.454545454545453
UNSW,30.38888888888889
Kyoto University,30.366666666666667
University of Duisburg-Essen,30.307692307692307
North Carolina State University,30.3
University of Southampton,30.239436619718308
University of Mainz,30.142857142857142
Macquarie University,30.066666666666666
KAIST,30.0
Radboud University,29.98076923076923
Beihang University,29.941176470588236
West Virginia University,29.9
University of Bergen,29.85
Osaka University,29.77777777777778
NJIT,29.724137931034484
Lehigh University,29.555555555555557
University of Magdeburg,29.529411764705884
IST Austria,29.484848484848484
Université de Sherbrooke,29.454545454545453
University of Klagenfurt,29.375
SUTD,29.363636363636363
Case Western Reserve University,29.357142857142858
University of Nottingham,29.32608695652174
Brandenburg University of Technology,29.25
University of Salzburg,29.142857142857142
University of Regina,29.11111111111111
TU Eindhoven,29.098039215686274
University of Technology Sydney,29.08695652173913
Chalmers/GU,29.025
University of Warwick,29.0
Bocconi University,29.0
TU Ilmenau,28.90909090909091
Georgia State University,28.904761904761905
College of William and Mary,28.875
