college,avg_h_index
Sapienza University of Rome,28.716216216216218
Polytechnique Montreal,28.666666666666668
University of New Mexico,28.642857142857142
University of Victoria,28.607142857142858
University of Augsburg,28.333333333333332
Brunel University London,28.314285714285713
Virginia Commonwealth University,28.3125
Florida State University,28.291666666666668
Florida International University,28.272727272727273
Florida Atlantic University,28.210526315789473
University of Halle-Wittenberg,28.2
Lancaster University,28.181818181818183
UNC - Charlotte,28.1
University of Texas at San Antonio,28.05263157894737
Ontario Tech University,28.0
University of Siegen,28.0
University of Hawaii at Manoa,27.933333333333334
University of Göttingen,27.8
University of Illinois at Chicago,27.775510204081634
University of Guelph,27.764705882352942
CISPA Helmholtz Center,27.7
University of Leeds,27.7
Tampere University,27.536585365853657
AUEB,27.51851851851852
University of Münster,27.5
University of Delaware,27.48148148148148
University of Bayreuth,27.4
University of Koblenz-Landau,27.363636363636363
Worcester Polytechnic Institute,27.307692307692307
PUC-RIO,27.3
Cleveland State University,27.3
KTH Royal Institute of Technology,27.264705882352942
Queensland University of Technology,27.235294117647058
Australian National University,27.185185185185187
University of Birmingham,27.17391304347826
CUNY,27.141025641025642
Tokyo Institute of Technology,27.13888888888889
Koç University,27.125
Washington State University,27.097560975609756
Binghamton University,27.083333333333332
HUST,27.055555555555557
Fudan University,27.020833333333332
Illinois Institute of Technology,27.0
Simmons University,27.0
University of Twente,27.0
POSTECH,27.0
Clemson University,26.97142857142857
Colorado School of Mines,26.90909090909091
University of Liverpool,26.87878787878788
Harbin Institute of Technology,26.82608695652174
University of Rostock,26.785714285714285
Birkbeck University of London,26.73913043478261
Syracuse University,26.727272727272727
HSE University,26.625
University of Sheffield,26.60377358490566
University of Georgia,26.47826086956522
University of Oldenburg,26.444444444444443
Louisiana State University,26.444444444444443
UFMG,26.39622641509434
Bilkent University,26.38888888888889
National Chiao Tung University,26.384615384615383
Virginia Tech,26.370967741935484
University of Auckland,26.357142857142858
Tata Inst. of Fundamental Research,26.333333333333332
University of North Texas,26.318181818181817
Dalhousie University,26.3125
Kansas State University,26.285714285714285
Iowa State University,26.272727272727273
University of Pisa,26.25
University of South Carolina,26.233333333333334
UESTC,26.22222222222222
Wayne State University,26.2
TU Clausthal,26.166666666666668
Tufts University,26.166666666666668
Uppsala University,26.152542372881356
Waseda University,26.11111111111111
Polytechnic University of Catalonia,26.083333333333332
University of Bath,26.03846153846154
University of New Brunswick,25.941176470588236
University of Lübeck,25.863636363636363
King's College London,25.76595744680851
University of Bamberg,25.75
University of Maine,25.75
University of Aberdeen,25.727272727272727
Keio University,25.705882352941178
University of Massachusetts Lowell,25.666666666666668
Friedrich Schiller University Jena,25.666666666666668
Xidian University,25.620689655172413
IIT Bhubaneswar,25.5
Jacobs University Bremen,25.5
Brigham Young University,25.48
National Tsing Hua University,25.454545454545453
Brandeis University,25.454545454545453
University of Tulsa,25.444444444444443
Utrecht University,25.340425531914892
Aarhus University,25.30952380952381
Concordia University,25.3
Universidad de Chile,25.272727272727273
University of Osnabrück,25.22222222222222
Old Dominion University,25.153846153846153
University College Dublin,25.152173913043477
University of Salerno,25.14516129032258
Aalborg University,25.121951219512194
IIT Kanpur,25.071428571428573
IMDEA Software Institute,25.0625
IMSc,25.0
University of Louisville,25.0
Florida Institute of Technology,25.0
Hamburg University of Technology,25.0
University of Alabama - Birmingham,25.0
Western Michigan University,24.8
IPM,24.666666666666668
University of Sussex,24.65
University of Piraeus,24.65
Cyprus University of Technology,24.636363636363637
University of Cincinnati,24.53846153846154
Tulane University,24.5
University of Bristol,24.48780487804878
Ryerson University,24.454545454545453
City University of London,24.444444444444443
University of Ioannina,24.4
Drexel University,24.36842105263158
Bundeswehr University Munich,24.153846153846153
University of Missouri - Kansas City,24.153846153846153
Universidade de Lisboa,24.126666666666665
Aberystwyth University,24.0
Claremont Graduate University,24.0
Korea University,23.944444444444443
University of Copenhagen,23.921875
IIT Kharagpur,23.9
Sabancı University,23.88888888888889
Auburn University,23.846153846153847
Masdar Institute,23.823529411764707
University of Kentucky,23.8
SUSTech,23.785714285714285
Queen's University Belfast,23.75609756097561
Boğaziçi University,23.6875
PUC-RS,23.681818181818183
NTNU,23.666666666666668
University of Iowa,23.636363636363637
Portland State University,23.555555555555557
University of Dundee,23.545454545454547
Soochow University,23.5
IIT Delhi,23.5
National Cheng Kung University,23.45
Nanjing University,23.438356164383563
University of Wuppertal,23.285714285714285
University of Szeged,23.181818181818183
The University of Alabama,23.166666666666668
Shandong University,23.11764705882353
University of Texas - El Paso,23.09090909090909
IIT Bombay,23.0
University of Nevada,22.95
University of Haifa,22.9375
University of Exeter,22.916666666666668
RMIT University,22.9
IIIT Hyderabad,22.88095238095238
Kyung Hee University,22.833333333333332
USP-ICMC,22.822222222222223
BUPT,22.8125
IIT Patna,22.785714285714285
Ecole Normale Superieure de Lyon,22.764705882352942
Xi'an Jiaotong University,22.666666666666668
Yonsei University,22.64
IISc Bangalore,22.63888888888889
Cardiff University,22.6
Qatar University,22.576923076923077
Tilburg University,22.53846153846154
Rochester Institute of Technology,22.52173913043478
University of Alabama - Huntsville,22.5
Ecole Normale Superieure de Rennes,22.5
UNICAMP,22.232558139534884
Hunan University,22.21212121212121
University of Vermont,22.2
Mississippi State University,22.142857142857142
University of Tartu,22.12121212121212
Open University UK,22.107142857142858
Özyeğin University,22.0
OHSU,22.0
University of Tsukuba,21.93617021276596
UFRGS,21.90566037735849
IIT Guwahati,21.869565217391305
Southern Methodist University,21.8
University of Essex,21.782608695652176
IIT Indore,21.77777777777778
McMaster University,21.714285714285715
Kyungpook National University,21.689655172413794
American University of Beirut,21.681818181818183
Naval Postgraduate School,21.666666666666668
IIT Gandhinagar,21.666666666666668
USP,21.571428571428573
IUPUI,21.5
University of Malaya,21.5
University of New Hampshire,21.444444444444443
Université Laval,21.4
Masaryk University,21.35135135135135
Massey University,21.24137931034483
University of St Andrews,21.2
University of Wyoming,21.0
Texas Tech University,21.0
Utah State University,21.0
IIT (BHU) Varanasi,20.9
University of Louisiana - Lafayette,20.857142857142858
Stellenbosch University,20.714285714285715
University of Warsaw,20.653846153846153
University of Arkansas,20.583333333333332
TU Chemnitz,20.571428571428573
IPI PAN,20.5
DePaul University,20.384615384615383
UFF,20.375
University of Murcia,20.363636363636363
UFPE,20.344827586206897
Ohio University,20.333333333333332
American University in Cairo,20.333333333333332
IIT Ropar,20.25
UFRJ,20.225806451612904
Universidade NOVA de Lisboa,20.14814814814815
University of Wisconsin - Milwaukee,20.125
Heriot-Watt University,20.0
Kent State University,20.0
DTU,20.0
Royal Holloway University of London,19.9375
Texas State University,19.875
Montana State University,19.857142857142858
University of Buenos Aires,19.85
Charles University,19.73076923076923
Universidade de Brasília,19.647058823529413
Renmin University of China,19.542857142857144
CRIStAL,19.52747252747253
Durham University,19.433333333333334
Maastricht University,19.40740740740741
Lebanese American University,19.333333333333332
University of Denver,19.333333333333332
Sharif University of Technology,19.032258064516128
University of Mississippi,19.0
IT University of Copenhagen,18.89873417721519
Oakland University,18.875
Université Jean Monnet,18.76923076923077
CMI,18.727272727272727
Shenzhen University,18.6734693877551
Boise State University,18.470588235294116
University of Idaho,18.444444444444443
Middlesex University,18.416666666666668
University at Albany - SUNY,18.363636363636363
Universidad de Zaragoza,18.333333333333332
IIT Jodhpur,18.153846153846153
Tongji University,18.142857142857142
Boston College,18.0
Stevens Institute of Technology,18.0
North Dakota State University,18.0
Indiana State University,18.0
University of Cape Town,18.0
University of Nevada Las Vegas,17.9
IIT Madras,17.6
Hanyang University,17.38888888888889
University of A Coruña,17.35
University of Windsor,17.3
Memorial University of Newfoundland,17.285714285714285
IIIT Delhi,17.205128205128204
IIIT Bangalore,17.136363636363637
Istanbul Technical University,17.136363636363637
South Asian University,17.0
IIT Roorkee,16.90909090909091
Middle East Technical University,16.785714285714285
University of Arkansas - Little Rock,16.75
Loughborough University,16.75
IIT Mandi,16.7
New Mexico State University,16.647058823529413
BITS Pilani,16.5
University of Michigan-Dearborn,16.4
Michigan Technological University,16.333333333333332
University of Wroclaw,16.266666666666666
IUST,16.238095238095237
Nova Southeastern University,16.11111111111111
Towson University,16.11111111111111
Babeș-Bolyai University,16.0
Ariel University,15.411764705882353
Goldsmiths University of London,15.347826086956522
SUFE,15.285714285714286
IIT Hyderabad,15.263157894736842
University of New Orleans,15.25
Wichita State University,15.153846153846153
Yıldız Technical University,15.0
University of Nebraska - Omaha,15.0
ShanghaiTech University,14.76923076923077
New Mexico Tech,14.714285714285714
Royal Military College of Canada,14.6
JUST,14.555555555555555
TOBB ETÜ,14.538461538461538
LUMS,14.461538461538462
BUET,14.277777777777779
Hacettepe University,14.25
UFPR,14.088235294117647
Ruhr-Universty Bochum,14.0
Universidad de los Andes,13.954545454545455
UNIST,13.758620689655173
University of Malta,13.727272727272727
DAIICT,13.7
Federal University of Rio Grande,13.25
University of Nicosia,13.2
TU Freiberg,13.0
UFU,12.916666666666666
Augusta University,12.576923076923077
Louisiana Tech University,12.5
Oklahoma State University,12.5
Galatasaray University,12.375
Universidad Nacional de Córdoba,12.357142857142858
UFMS,12.285714285714286
KMUTNB,12.142857142857142
Missouri S&T,12.0
Air Force Institute of Technology,12.0
King Abdulaziz University,12.0
University of Colorado - Denver,11.5
National Institute of Technology Silchar,11.25
Universidade Federal de Viçosa,11.1
LIU Post,11.0
University of Jordan,10.756756756756756
Izmir Institute of Technology,10.181818181818182
BITS Pilani-Goa,9.590909090909092
Chulalongkorn University,7.5
De La Salle University,6.15625
IIT Goa,5.666666666666667
Wichita State Unitveristy,3.0
