name,homepage,scholar_id,citations,h-index,earliest_paper
Kai Kunze,http://kaikunze.de,aBBK-psAAAAJ,4168.0,35.0,2003.0
Issei Fujishiro,https://www.st.keio.ac.jp/en/tprofile/ics/fujishiro.html,0bnysWMAAAAJ,2474.0,26.0,1986.0
Hideo Saito,https://www.st.keio.ac.jp/en/tprofile/ics/hideo.saito.html,JU9x-bcAAAAJ,6699.0,37.0,1948.0
Michita Imai,https://www.st.keio.ac.jp/en/tprofile/ics/imai.html,lYqJ_FsAAAAJ,5883.0,38.0,1970.0
Hideharu Amano,https://www.st.keio.ac.jp/en/tprofile/ics/amano.html,pfCZLZwAAAAJ,6768.0,39.0,1967.0
Junichi Yamaoka,https://www.junichiyamaoka.net,x21UmG0AAAAJ,247.0,8.0,2009.0
Kouta Minamizawa,http://embodiedmedia.org/member/kouta-minamizawa,gxCL2_wAAAAJ,3089.0,30.0,2003.0
Yuta Sugiura,https://lclab.org/people/yutasugiura,ZlK1mVsAAAAJ,1479.0,19.0,2009.0
Naoaki Yamanaka,https://www.st.keio.ac.jp/en/tprofile/ics/yamanaka.html,ba8chIEAAAAJ,5393.0,33.0,1984.0
Hiroki Matsutani,https://www.st.keio.ac.jp/en/tprofile/ics/matsutani.html,cBqdx2IAAAAJ,2521.0,25.0,1997.0
Fumio Teraoka,https://www.st.keio.ac.jp/en/tprofile/ics/teraoka.html,1e4BgHoAAAAJ,2318.0,23.0,1983.0
Maki Sugimoto,https://www.st.keio.ac.jp/en/tprofile/ics/sugimoto.html,h5GzIxgAAAAJ,2487.0,27.0,1994.0
Hiroaki Nishi,https://www.st.keio.ac.jp/en/tprofile/sd/nishi.html,rXAiVWUAAAAJ,2822.0,23.0,1986.0
Shingo Takada,https://www.st.keio.ac.jp/en/tprofile/ics/takada.html,DlYZVo0AAAAJ,1032.0,15.0,1994.0
Kenji Kono,https://www.st.keio.ac.jp/en/tprofile/ics/kono.html,lYetPkIAAAAJ,1494.0,17.0,1991.0
Komei Sugiura,https://www.st.keio.ac.jp/en/tprofile/ics/sugiura_komei.html,1Kd0W0oAAAAJ,1411.0,18.0,2003.0
Yoshimitsu Aoki,https://aoki-medialab.jp/aokiyoshimitsu-en,fd_IY8AAAAAJ,2185.0,24.0,1973.0
