name,homepage,scholar_id,citations,h-index
Anselm Blumer,http://www.cs.tufts.edu/~ablumer,4esyQS4AAAAJ,5278.0,13.0
Bert C. Huang,http://berthuang.com,TrqegZIAAAAJ,4200.0,31.0
Diane L. Souvaine,http://provost.tufts.edu/about/about-the-office/diane-souvaine,QTRDjTUAAAAJ,2093.0,25.0
Lenore Cowen,http://www.cs.tufts.edu/~cowen,TarR6_8AAAAJ,3715.0,29.0
Elaine Schaertl Short,https://engineering.tufts.edu/people/faculty/elaine-schaertl-short,J1awhoMAAAAJ,708.0,13.0
Jeffrey S. Foster,http://www.cs.umd.edu/~jfoster,QWPwfsgAAAAJ,8989.0,44.0
Alva L. Couch,http://www.cs.tufts.edu/~couch,7oJoP0IAAAAJ,1254.0,19.0
Michael C. Hughes,https://www.michaelchughes.com,ugSmcnoAAAAJ,1307.0,16.0
Matthias Scheutz,http://www.cs.tufts.edu/Faculty/matthias-scheutz.html,5yT3GScAAAAJ,9874.0,51.0
Samuel Z. Guyer,http://www.cs.tufts.edu/~sguyer,3X9nW80AAAAJ,3478.0,22.0
Jan P. de Ruiter,http://www.uni-bielefeld.de/lili/personen/jruiter,NOSCHOLARPAGE,,
Fahad R. Dogar,http://www.cs.tufts.edu/Faculty/fahad-dogar.html,KPjFQ4AAAAAJ,1485.0,13.0
Remco Chang,http://www.cs.tufts.edu/~remco,Q29WmWwAAAAJ,4922.0,38.0
Robert J. K. Jacob,http://www.cs.tufts.edu/~jacob,NOSCHOLARPAGE,,
Soha Hassoun,http://www.cs.tufts.edu/~soha,tR5MNfkAAAAJ,2789.0,23.0
Daniel Votipka,https://www.eecs.tufts.edu/~dvotipka,1LmUdRkAAAAJ,608.0,10.0
Li-Ping Liu,https://www.eecs.tufts.edu/~liulp,aFaGunAAAAAJ,470.0,10.0
Norman Ramsey,http://www.cs.tufts.edu/~nr,7QTGa98AAAAJ,2553.0,24.0
Donna K. Slonim,http://www.cs.tufts.edu/~slonim,i3pEsbgAAAAJ,28867.0,38.0
