name,homepage,scholar_id,citations,h-index
David L. Roberts,https://www.csc.ncsu.edu/faculty/robertsd,vXYrNiIAAAAJ,4190.0,37.0
John-Paul Ore,https://jpwco.com,q7jnx5IAAAAJ,353.0,12.0
Steffen Heber,http://statgen.ncsu.edu/~sheber,SdaQU5sAAAAJ,3137.0,21.0
Arnav Jhala,https://games.soe.ucsc.edu/arnav-jhala,8x0RJd0AAAAJ,1921.0,21.0
Donald L. Bitzer,https://www.csc.ncsu.edu/people/bitzer,NOSCHOLARPAGE,,
Edward F. Gehringer,http://www4.ncsu.edu/~efg,IEHo6YcAAAAJ,3335.0,29.0
Amro Awad,https://sites.google.com/site/amroawad,jDmd7AoAAAAJ,762.0,12.0
Khaled Harfoush,http://www4.ncsu.edu/~kaharfou,NOSCHOLARPAGE,,
David Sturgill,https://www.csc.ncsu.edu/people/dbsturgi,NOSCHOLARPAGE,,
William Enck,http://www.enck.org,KcM-4NsAAAAJ,13356.0,33.0
Chris Martens,http://www.cs.cmu.edu/~cmartens,1ceh700AAAAJ,485.0,12.0
Collin F. Lynch,http://people.engr.ncsu.edu/cflynch,BgGQiWkAAAAJ,2514.0,21.0
Benjamin Watson,https://www.csc.ncsu.edu/people/bwatson,yfYYAMQAAAAJ,5047.0,31.0
Chris Parnin,https://www.csc.ncsu.edu/people/cjparnin,Guzbr0kAAAAJ,4669.0,33.0
David J. Thuente,https://www.csc.ncsu.edu/people/djthuent,NOSCHOLARPAGE,,
Michael A. Rappa,http://analytics.ncsu.edu/?page_id=7,NOSCHOLARPAGE,,
Don Sheehy,http://donsheehy.net,A5D1DF4AAAAJ,758.0,14.0
Frank Mueller,http://moss.csc.ncsu.edu/~mueller,NOSCHOLARPAGE,,
Munindar P. Singh,https://www.csc.ncsu.edu/faculty/mpsingh,qNznu3kAAAAJ,28848.0,77.0
Robert St. Amant,http://www4.ncsu.edu/~stamant,5dOPwnoAAAAJ,2738.0,29.0
Kathryn T. Stolee,https://kstolee.github.io,YICZNZAAAAAJ,,
Carla D. Savage,http://www4.ncsu.edu/~savage,NOSCHOLARPAGE,,
Jon Doyle,https://www.csc.ncsu.edu/faculty/doyle,C6DtGmMAAAAJ,89470.0,99.0
Christopher G. Healey,https://www.csc.ncsu.edu/faculty/healey,dd1qLRcAAAAJ,4174.0,31.0
Rudra Dutta,http://dutta.csc.ncsu.edu,FODlT4sAAAAJ,3691.0,25.0
