name,homepage,scholar_id,citations,h-index
Alfonso Pierantonio,https://www.disim.univaq.it/main/home.php?users_username=alfonso,JVTAEMMAAAAJ,4335.0,34.0
Henry Muccini,http://www.henrymuccini.com,5n9E1cMAAAAJ,4236.0,35.0
Davide Di Ruscio,http://people.disim.univaq.it/~diruscio,Pn0T4rQAAAAJ,4002.0,33.0
Patrizio Pelliccione,http://www.patriziopelliccione.com,DmDWmy4AAAAJ,4033.0,34.0
Paola Inverardi,http://people.disim.univaq.it/inverard,x8XlRFgAAAAJ,9890.0,45.0
Vittorio Cortellessa,http://people.disim.univaq.it/cortelle,s4JPUOEAAAAJ,3497.0,31.0
Antinisca Di Marco,http://people.disim.univaq.it/adimarco,QVzuSyIAAAAJ,4343.0,26.0
Marco Autili,http://people.disim.univaq.it/marco.autili,s8F7eWIAAAAJ,1779.0,24.0
Massimo Tivoli,http://people.disim.univaq.it/massimo.tivoli,jvlJKLkAAAAJ,2265.0,28.0
