name,homepage,scholar_id,citations,h-index
Christoph Lindemann,https://rvs.informatik.uni-leipzig.de/de/mitarbeiter/lindemann,huoDetEAAAAJ,4003.0,29.0
Martin Middendorf,http://pacosy.informatik.uni-leipzig.de/15-0-Prof+Dr+Martin+Middendorf.html,ZZXO0GcAAAAJ,12348.0,48.0
Gerhard Heyer,http://asv.informatik.uni-leipzig.de/staff/Gerhard_Heyer,i_RcqLwAAAAJ,2450.0,22.0
Martin Potthast,https://temir.org/people.html,a0W8R-cAAAAJ,8653.0,44.0
Manuel Burghardt,https://ch.uni-leipzig.de/burghardt,Upg83P0AAAAJ,477.0,11.0
Norbert Siegmund,https://sws.informatik.uni-leipzig.de/team,,,
Erhard Rahm,https://dbs.uni-leipzig.de/personen/rahm.html,N9wi5soAAAAJ,28467.0,65.0
Gregory R. Crane,http://www.dh.uni-leipzig.de/wo/gregory-crane,,,
Peter F. Stadler,http://www.bioinf.uni-leipzig.de/~studla,pVnGRlkAAAAJ,66411.0,110.0
Manfred Droste,http://www.informatik.uni-leipzig.de/~droste,RNhcC7UAAAAJ,4137.0,34.0
Gerd Brewka,http://www.informatik.uni-leipzig.de/~brewka,wAxbPL0AAAAJ,8384.0,42.0
Gerik Scheuermann,http://www.informatik.uni-leipzig.de/bsv/homepage/de/people/gerik-scheuermann,FXZzosEAAAAJ,17322.0,45.0
Martin Bogdan,https://ti.informatik.uni-leipzig.de/staff/prof-dr-martin-bogdan,5joTBSUAAAAJ,3940.0,29.0
Gottfried Koch,http://www.informatik.uni-leipzig.de/vi/webdir/lehrstuhl_vi/wir/arbeitsgruppe.shtml,,,
Andreas Maletti,http://www.informatik.uni-leipzig.de/alg,,,
Sven Hofmann,https://www.informatik.uni-leipzig.de/ifi/professuren/ddi,k1swNusAAAAJ,32.0,3.0
