name,homepage,scholar_id,citations,h-index,earliest_paper
Noah Snavely [Tech],http://www.cs.cornell.edu/~snavely,Db4BCX8AAAAJ,24842.0,58.0,2002.0
Rachit Agarwal,http://www.cs.cornell.edu/~ragarwal,0YTyPHoAAAAJ,4746.0,34.0,1980.0
Rafael Pass [Tech],http://www.cs.cornell.edu/~rafael,,,,
Wen Sun,https://wensun.github.io,iOLC30YAAAAJ,1746.0,25.0,2014.0
Dexter Campbell Kozen,http://www.cs.cornell.edu/~kozen,LV1qWjgAAAAJ,20923.0,57.0,1971.0
Lillian Lee,http://www.cs.cornell.edu/home/llee,oJESe-cAAAAJ,40765.0,40.0,1993.0
Karthik Sridharan,http://www.cs.cornell.edu/~sridharan,nX9D5AoAAAAJ,6088.0,37.0,1999.0
Nika Haghtalab,http://www.cs.cornell.edu/~nika,C6pnolkAAAAJ,877.0,17.0,2013.0
Abe Davis,http://abedavis.com,,,,
J. Nathan Foster,http://www.cs.cornell.edu/~jnfoster,AH5j40kAAAAJ,9518.0,41.0,2001.0
Donald Greenberg,http://aap.cornell.edu/people/donald-greenberg,,,,
Cristian Danescu-Niculescu-Mizil,http://www.cs.cornell.edu/~cristian,njczUPMAAAAJ,5450.0,30.0,2009.0
Malte F. Jung,http://infosci.cornell.edu/faculty/malte-jung,pfBh4zEAAAAJ,2457.0,28.0,2004.0
Mor Naaman [Tech],http://infosci.cornell.edu/faculty/mor-naaman,IeqjwlIAAAAJ,17443.0,60.0,2002.0
Nicola Dell [Tech],http://nixdell.com,Gb5dtYwAAAAJ,3442.0,34.0,2005.0
Robert D. Kleinberg,http://www.cs.cornell.edu/~rdk,zkvW8FQAAAAJ,13566.0,61.0,1998.0
Kilian Q. Weinberger,http://www.cs.cornell.edu/~kilian,8RVWMycAAAAJ,64503.0,76.0,2004.0
Greg Morrisett [Tech],http://www.cs.cornell.edu/~jgm,Dswus94AAAAJ,10960.0,50.0,1993.0
Stephen R. Marschner,http://www.cs.cornell.edu/~srm,llo3F3QAAAAJ,11386.0,48.0,1993.0
Robert L. Constable,http://www.cs.cornell.edu/home/rc,,,,
Lorenzo Alvisi,http://www.cs.utexas.edu/~lorenzo,K_-KJi8AAAAJ,14145.0,52.0,1993.0
Adrian Sampson,http://adriansampson.net,Bq50aCUAAAAJ,3839.0,20.0,2008.0
Carla P. Gomes,http://www.cs.cornell.edu/gomes,3hdbdBoAAAAJ,282.0,7.0,2012.0
Charles F. Van Loan,http://www.cs.cornell.edu/cv,N7sfFpcAAAAJ,96631.0,47.0,
Fei Wang,https://wcm-wanglab.github.io/index.html,FjCbjDYAAAAJ,20484.0,69.0,2003.0
John E. Hopcroft,http://www.cs.cornell.edu/jeh,4Z6vo5QAAAAJ,67896.0,82.0,1964.0
Ken Birman,http://www.cs.cornell.edu/ken,I-rKkyEAAAAJ,24048.0,69.0,1978.0
Phoebe Sengers,http://www.cs.cornell.edu/people/sengers,6c5cf1wAAAAJ,9558.0,39.0,1993.0
Martha E. Pollack,https://infosci.cornell.edu/content/pollack,5oU0wxcAAAAJ,14553.0,51.0,1982.0
Kavita Bala,http://www.cs.cornell.edu/~kb,Rh16nsIAAAAJ,10179.0,46.0,1991.0
Thorsten Joachims,http://www.cs.cornell.edu/people/tj,5tk1PV8AAAAJ,74354.0,77.0,1987.0
Bart Selman,http://www.cs.cornell.edu/selman,pJ28HA0AAAAJ,30798.0,73.0,1985.0
David Bindel,http://www.cs.cornell.edu/~bindel,04TuVhEAAAAJ,6952.0,30.0,1997.0
Andrew C. Myers,http://www.cs.cornell.edu/andru,ovlpa_IAAAAJ,14969.0,54.0,1987.0
Erik Andersen,http://www.cs.cornell.edu/~eland,iDMvmEYAAAAJ,2128.0,23.0,2007.0
Éva Tardos,http://www.cs.cornell.edu/~eva,h6jljQQAAAAJ,34437.0,67.0,1984.0
Hakim Weatherspoon,http://www.cs.cornell.edu/~hweather,0zrqo3B-66wC,9529.0,33.0,1999.0
Claire Cardie,http://www.cs.cornell.edu/home/cardie,ex9BQiIAAAAJ,27032.0,76.0,1990.0
Ramin Zabih [Tech],http://www.cs.cornell.edu/rdz,8Lp0W54AAAAJ,32573.0,36.0,1985.0
Chris De Sa,http://www.cs.cornell.edu/~cdesa,v7EjGHkAAAAJ,3214.0,27.0,2006.0
Hadas Kress-Gazit,https://www.mae.cornell.edu/people/profile.cfm?netid=hk478,duOys3YAAAAJ,4644.0,32.0,2005.0
Cheng Zhang,https://infosci.cornell.edu/content/zhang-0,Lf5ShKkAAAAJ,1032.0,15.0,2011.0
Tanzeem Choudhury [Tech],http://www.cs.cornell.edu/~tanzeem,-pyztDMAAAAJ,17771.0,63.0,1995.0
Marten van Schijndel,https://vansky.github.io,AtmDLewAAAAJ,652.0,14.0,2012.0
Alon Keinan,http://keinanlab.cb.bscb.cornell.edu,rS0EX5EAAAAJ,50340.0,49.0,2003.0
José F. Martínez,http://www.csl.cornell.edu/~martinez,f1CZknQAAAAJ,15035.0,57.0,
David H. Albonesi,http://www.csl.cornell.edu/~albonesi,,,,
Joe Halpern,https://www.cs.cornell.edu/home/halpern,FsBCAfgAAAAJ,43186.0,93.0,1951.0
David B. Shmoys,https://people.orie.cornell.edu/shmoys,rD8a4hQAAAAJ,25448.0,60.0,1984.0
Siddhartha Banerjee,https://people.orie.cornell.edu/sbanerjee,_kqpoHIAAAAJ,1806.0,21.0,2009.0
Madeleine Udell,https://people.orie.cornell.edu/mru8,tZ9pEDMAAAAJ,2083.0,23.0,2011.0
Fred B. Schneider,https://www.cs.cornell.edu/fbs,sxjynOsAAAAJ,24178.0,64.0,1964.0
Noah Stephens-Davidowitz,http://www.noahsd.com,CmAC8DMAAAAJ,975.0,15.0,2007.0
Ron Brachman,http://brachman.org,,,,
David P. Williamson,http://www.orie.cornell.edu/people/profile.cfm?netid=dw36,pOd2M64AAAAJ,14539.0,45.0,1970.0
Immanuel Trummer,http://as.cornell.edu/immanuel-trummer,FJ7im7AAAAAJ,615.0,14.0,1963.0
Ari Juels [Tech],http://tech.cornell.edu/people/ari-juels,uf0D-uoAAAAJ,43560.0,93.0,1993.0
Volodymyr Kuleshov [Tech],http://web.stanford.edu/~kuleshov,RY_t8XAAAAAJ,3346.0,19.0,2010.0
Shiri Azenkot [Tech],https://tech.cornell.edu/people/shiri-azenkot,jNQlAkoAAAAJ,2493.0,25.0,2010.0
Rajalakshmi Nandakumar [Tech],https://tech.cornell.edu/people/rajalakshmi-nandakumar,CO4txjAAAAAJ,1604.0,13.0,2012.0
Alexander M. Rush [Tech],http://rush.seas.harvard.edu,LIjnUGgAAAAJ,18172.0,45.0,2005.0
Thomas Ristenpart [Tech],http://tech.cornell.edu/people/thomas-ristenpart,MGVrVSIAAAAJ,17061.0,52.0,2004.0
Austin R. Benson,https://www.cs.cornell.edu/~arb,BzOqNoQAAAAJ,3770.0,26.0,2013.0
Robbert van Renesse,https://www.cs.cornell.edu/home/rvr,uJbM58UAAAAJ,21390.0,65.0,1984.0
Jayadev Acharya,http://people.ece.cornell.edu/acharya,70vJVxcAAAAJ,2101.0,24.0,2007.0
Christopher Batten,http://www.csl.cornell.edu/~cbatten,sHu62agAAAAJ,3397.0,31.0,1988.0
Yoav Artzi [Tech],http://yoavartzi.com,XuQW7ogAAAAJ,5379.0,29.0,2011.0
G. Edward Suh,http://www.csl.cornell.edu/~suh,neO3vFYAAAAJ,13089.0,40.0,2001.0
Justin Hsu,https://justinh.su,HsfKE0sAAAAJ,3883.0,27.0,2012.0
Zhiru Zhang,http://www.csl.cornell.edu/~zhiruz,x05pUHsAAAAJ,4791.0,33.0,2002.0
Guy Hoffman,http://guyhoffman.com,ZocLOAMAAAAJ,5017.0,36.0,1995.0
Bharath Hariharan,http://home.bharathh.info,TpglobcAAAAJ,25037.0,37.0,2010.0
Tsu-Han Chen,https://www.ece.cornell.edu/people/profile.cfm?netid=tc345,syCMBRIAAAAJ,23023.0,71.0,1991.0
Kirstin Peterson,https://www.ece.cornell.edu/people/profile.cfm?netid=khp37,ESJILIEAAAAJ,2513.0,13.0,2008.0
Deborah Estrin [Tech],http://tech.cornell.edu/people/deborah-estrin,3_WYcR4AAAAJ,125965.0,134.0,1982.0
Anil Damle,https://www.cs.cornell.edu/~damle,VqOc5C8AAAAJ,557.0,13.0,2009.0
François Guimbretière,https://www.cs.cornell.edu/~francois,PxZT1sgAAAAJ,7687.0,43.0,1999.0
Eshan Chattopadhyay,https://www.cs.cornell.edu/~eshan,5ReVSa8AAAAJ,690.0,12.0,2012.0
Alexandra Silva,http://www.cs.ucl.ac.uk/people/A.Silva.html,Vgu38TgAAAAJ,2107.0,25.0,2006.0
David M. Mimno,https://mimno.infosci.cornell.edu,uBFV6SUAAAAJ,10037.0,37.0,2004.0
Vitaly Shmatikov [Tech],https://www.cs.cornell.edu/~shmat,,,,
Owolabi Legunsen,https://www.cs.cornell.edu/~legunsen,Cmn6vXsAAAAJ,613.0,13.0,2013.0
Helen Nissenbaum [Tech],https://nissenbaum.tech.cornell.edu,,,,
Haym Hirsh,https://www.cs.cornell.edu/~hirsh,,,,
Daniel D. Lee [Tech],http://www.seas.upenn.edu/~ddlee,,,,
