name,homepage,scholar_id,citations,h-index,earliest_paper
Bo Tang,https://faculty.sustech.edu.cn/tangb3,og0Jsq4AAAAJ,315.0,9.0,2013.0
Ran Cheng,https://scholar.google.com/citations?hl=en&user=bjeIdlcAAAAJ,bjeIdlcAAAAJ,6698.0,31.0,2011.0
Fengwei Zhang,http://cse.sustech.edu.cn/faculty/~zhangfw,A_SXH6AAAAAJ,999.0,18.0,2008.0
James J. Q. Yu,https://jamesyu.me,PUgfVxwAAAAJ,2473.0,24.0,2011.0
Yu Zhang,http://cse.sustech.edu.cn/faculty/~zhangy,jaRS5w4AAAAJ,5910.0,34.0,2006.0
Alia Asheralieva,https://faculty.sustech.edu.cn/asheralievaa/en,sZ6ghiYAAAAJ,715.0,14.0,2009.0
Jiang Liu,https://faculty.sustech.edu.cn/liuj,,,,
Yuhui Shi,https://faculty.sustech.edu.cn/shiyh,xSvAHWgAAAAJ,71785.0,60.0,1945.0
Xuan Song,https://faculty.sustech.edu.cn/songx,_qCSLpMAAAAJ,3630.0,31.0,2000.0
Feng Zheng,https://faculty.sustech.edu.cn/fengzheng,PcmyXHMAAAAJ,2230.0,20.0,2008.0
Zhuozhao Li,https://scholar.google.co.jp/citations?hl=en&user=CbH_SlcAAAAJ,CbH_SlcAAAAJ,652.0,14.0,2015.0
Yinqian Zhang,http://yinqian.org,C7htwEIAAAAJ,5581.0,29.0,
Shin Hwei Tan,https://faculty.sustech.edu.cn/tansh3,1eFjFs8AAAAJ,878.0,12.0,2011.0
Cheng He,https://www.emigroup.tech,I28xMFQAAAAJ,893.0,15.0,2015.0
Xin Yao,https://www.cs.bham.ac.uk/~xin,UUtYPl4AAAAJ,63135.0,115.0,1991.0
Jian Yang,https://faculty.sustech.edu.cn/yangj33,pfkyI_sAAAAJ,197.0,8.0,2007.0
Shuang-Hua Yang,https://faculty.sustech.edu.cn/yangsh,7HXwJqEAAAAJ,5983.0,35.0,1995.0
Ke Tang,https://faculty.sustech.edu.cn/tangk3,mzLHFbAAAAAJ,11687.0,53.0,2004.0
Yuqun Zhang,https://faculty.sustech.edu.cn/zhangyq,pPyNyusAAAAJ,1039.0,13.0,2010.0
Jin Zhang,https://faculty.sustech.edu.cn/zhangj4,JXTz1iYAAAAJ,6320.0,32.0,2000.0
Jianguo Zhang,https://faculty.sustech.edu.cn/zhangjg,ypSmZtIAAAAJ,9546.0,34.0,2001.0
Wenjing Hong,http://home.ustc.edu.cn/~hongwj,,,,
Qi Wang,http://cse.sustech.edu.cn/faculty/~wangqi,ad6Sx3IAAAAJ,520.0,11.0,2007.0
Guiying Li,http://www.liguiying.cn,Pdj79icAAAAJ,140.0,5.0,2016.0
Hisao Ishibuchi,http://cse.sustech.edu.cn/faculty/~hisao,vx9EZN4AAAAJ,31148.0,79.0,1989.0
Peng Yang,http://cse.sustech.edu.cn/faculty/~yangp,5T9jy2MAAAAJ,375.0,7.0,2014.0
Dan Zeng,https://www.danzeng.org/about,mr_5iXsAAAAJ,410.0,8.0,2015.0
Meiying Zhang,https://faculty.sustech.edu.cn/?p=115654&cat=2&iscss=1&snapid=1&orderby=date,,,,
Georgios K. Theodoropoulos,http://www.gtheodoropoulos.com,pr69a6YAAAAJ,3131.0,27.0,1994.0
Yulong Ding,https://scholar.google.com/citations?hl=zh-CN&user=mVUJ_w0AAAAJ,mVUJ_w0AAAAJ,112.0,6.0,2014.0
Hanyang Peng,https://faculty.sustech.edu.cn/?p=28816&tagid=yusq&cat=2&iscss=1&snapid=1&orderby=date&lang=en,,,,
Yan Hu,https://faculty.sustech.edu.cn/?p=36047&tagid=liuj&cat=2&iscss=1&snapid=1&orderby=date,,,,
Qi Hao,http://cse.sustech.edu.cn/faculty/~haoq,--nWP4MAAAAJ,4944.0,31.0,1999.0
Xuetao Wei,http://cse.sustech.edu.cn/faculty/~weixt,8fNwEScAAAAJ,1697.0,20.0,2006.0
Dachuan Li,https://faculty.sustech.edu.cn/?p=57187&tagid=&cat=2&iscss=1&snapid=1&orderby=date,sCANNvMAAAAJ,125.0,7.0,2011.0
Yuxin Ma,http://cse.sustech.edu.cn/faculty/~mayx,tD4jh9sAAAAJ,555.0,13.0,2013.0
Changwu Huang,https://scholar.google.com/citations?user=QRnmYfkAAAAJ&hl=en,QRnmYfkAAAAJ&hl,250.0,8.0,2012.0
Danial Yazdani,https://scholar.google.com/citations?user=ZLOWkEgAAAAJ&hl=zh-CN,ZLOWkEgAAAAJ,729.0,16.0,2010.0
Jie Jiang,http://cse.sustech.edu.cn/faculty/~jiangj,RTWu4e0AAAAJ,224.0,9.0,2010.0
Jialin Liu,http://cse.sustech.edu.cn/faculty/~liujl,xhytgbIAAAAJ,1148.0,17.0,2013.0
Yepang Liu,http://cse.sustech.edu.cn/faculty/~liuyp,azupdzkAAAAJ,1302.0,19.0,2011.0
Xiaofen Lu,http://cse.sustech.edu.cn/faculty/~luxf,x9pp9VIAAAAJ,422.0,9.0,2010.0
Xiao Yan,http://cse.sustech.edu.cn/faculty/~yanx,rzNoyOIAAAAJ,468.0,12.0,2014.0
Joseph Sifakis,http://www-verimag.imag.fr/~sifakis,8jCwk4EAAAAJ,21167.0,66.0,1972.0
Zhenyu Ning,http://cse.sustech.edu.cn/faculty/~ningzy,tA1o6r8AAAAJ,150.0,7.0,2010.0
Ke Shang,http://cse.sustech.edu.cn/faculty/~shangk,jFUXL1AAAAAJ,482.0,11.0,2010.0
Bo Yuan,https://faculty.sustech.edu.cn/yuanb,MAdS9ZsAAAAJ,694.0,10.0,2010.0
