name,homepage,scholar_id,citations,h-index,earliest_paper
Imed Zaguia,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/dr-imed-zaguia,_Wq_v0oAAAAJ,87.0,5.0,1998.0
Claude Tardif,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/dr-claude-tardif,I_BzTLgAAAAJ,1365.0,19.0,1992.0
David L. Wehlau,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/dr-david-wehlau,40oEP74AAAAJ,848.0,18.0,1980.0
Diane F. Kelly,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/dr-diane-kelly,,,,
François Rivest,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/dr-francois-rivest,lb1fNb0AAAAJ,629.0,15.0,2000.0
Jack Brimberg,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/dr-jack-brimberg,,,,
Lucien Haddad,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/dr-lucien-haddad,amlkJmIAAAAJ,759.0,16.0,1986.0
W. J. Hurley,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/wj-hurley-bsc-mba-phd-professor,,,,
M. L. Chaudhry,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/dr-mohan-chaudhry,,,,
Louis Massey,https://www.rmc-cmr.ca/en/mathematics-and-computer-science/dr-louis-massey,,,,
