name,homepage,scholar_id,citations,h-index
Christof Lutteroth,https://www.cs.auckland.ac.nz/~lutteroth,unjdcoYAAAAJ,2136.0,27.0
Willem B. Heijltjes,http://www.cs.bath.ac.uk/~wbh22,TzO85XoAAAAJ,207.0,8.0
James David Laird,http://www.bath.ac.uk/comp-sci/contacts/academics/james_laird,_Gi9Hl4AAAAJ,1565.0,22.0
A. John Power,http://www.bath.ac.uk/comp-sci/contacts/academics/john_power,mCvZPDn8heUC,22147.0,65.0
Stephen J. Payne,http://www.bath.ac.uk/comp-sci/contacts/academics/stephen_payne,i6teB6AAAAAJ,5922.0,42.0
Peter Hall,http://www.cs.bath.ac.uk/~pmh/start/home.html,Tgz4GT8AAAAJ,,
Neill D. F. Campbell,http://cs.bath.ac.uk/~nc537,dRC_mIAAAAAJ,1504.0,14.0
Darren Cosker,http://www.cs.bath.ac.uk/~dpc,n0rYM4kAAAAJ,2647.0,24.0
Marina De Vos,http://www.bath.ac.uk/comp-sci/contacts/academics/marina_de_vos,_Bxa0oAAAAAJ,1573.0,21.0
Peter Johnson,http://www.bath.ac.uk/comp-sci/contacts/academics/peter_johnson,GnF3a4UAAAAJ,12990.0,35.0
Russell J. Bradford,http://www.bath.ac.uk/comp-sci/contacts/academics/russell_bradford,82dRKOQAAAAJ,1935.0,22.0
Christian Richardt,http://richardt.name,AZH_wV0AAAAJ,2723.0,22.0
Joanna Bryson,http://www.cs.bath.ac.uk/~jjb,QOU1RTUAAAAJ,6793.0,34.0
Julian A. Padget,http://www.bath.ac.uk/comp-sci/contacts/academics/julian_padget,4rR5aQEAAAAJ,4968.0,31.0
Simon L. Jones,http://people.bath.ac.uk/cs3sj,OHeUPTQAAAAJ,814.0,13.0
Guy McCusker,http://www.cs.bath.ac.uk/~gam23,kCbGWC4AAAAJ,1925.0,17.0
Tom S. F. Haines,http://thaines.com,jg2HJ7QAAAAJ,499.0,10.0
Rachid Hourizi,http://www.bath.ac.uk/cdas/people/associates/rachid-hourizi/index.html,NOSCHOLARPAGE,,
Alessio Guglielmi,http://alessio.guglielmi.name,1fq1YrMAAAAJ,1246.0,16.0
Jason Alexander,http://www.jasonalexander.kiwi,gxT8_4EAAAAJ,3644.0,36.0
Nicolai N. Vorobjov Jr.,http://people.bath.ac.uk/masnnv,xydcz6MAAAAJ,1389.0,18.0
James H. Davenport,http://people.bath.ac.uk/masjhd,dy5hIhAAAAAJ,19161.0,37.0
Michael A. E. Wright,http://bath.academia.edu/MichaelWright,2dTrwzAAAAAJ,4851.0,32.0
Fabio Nemetz,http://www.bath.ac.uk/comp-sci/contacts,NOSCHOLARPAGE,,
Alan Hayes,http://www.bath.ac.uk/comp-sci/contacts/academics/alan_hayes,NOSCHOLARPAGE,,
Michael E. Tipping,http://www.miketipping.com,k8Rs4JcAAAAJ,20401.0,25.0
Eamonn O'Neill,http://www.bath.ac.uk/comp-sci/contacts/academics/eamonn_oneill,1m173DEAAAAJ,3023.0,32.0
Mike C. Fraser,https://researchportal.bath.ac.uk/en/persons/mike-fraser,qxnHlVYAAAAJ,3780.0,30.0
Yong-Liang Yang,http://www.yongliangyang.net,v2etATwAAAAJ,2671.0,22.0
Leon A. Watts,http://www.cs.bath.ac.uk/Leon,NOSCHOLARPAGE,,
