name,homepage,scholar_id,citations,h-index,earliest_paper
R. Stuart Geiger,https://stuartgeiger.com,0AvWi3wAAAAJ,2305.0,23.0,
Terrence J. Sejnowski,http://biology.ucsd.edu/research/faculty/tsejnowski,m1qAiOUAAAAJ,156764.0,171.0,
William E. Howden,http://cseweb.ucsd.edu/~howden,N346LrwAAAAJ,4149.0,26.0,1970.0
T. C. Hu,http://cseweb.ucsd.edu/~hu,OBvvEPcAAAAJ,534.0,10.0,1975.0
Julian J. McAuley,http://cseweb.ucsd.edu/~jmcauley,icbo4M0AAAAJ,17767.0,49.0,2006.0
Taylor Berg-Kirkpatrick,http://cseweb.ucsd.edu/~tberg,mN6_BKAAAAAJ,3869.0,28.0,2008.0
Steven Swanson,http://cseweb.ucsd.edu/~swanson,jz1YYgwAAAAJ,8582.0,45.0,1974.0
Alex C. Snoeren,http://cseweb.ucsd.edu/~snoeren,lBzZU1IAAAAJ,13314.0,54.0,1998.0
Shachar Lovett,http://cseweb.ucsd.edu/~slovett,f6JF7BkAAAAJ,2794.0,28.0,2007.0
Barna Saha,https://barnasaha.net,BsmjRdoAAAAJ,2716.0,26.0,2006.0
Xiaolong Wang,https://xiaolonw.github.io,Y8O9N_0AAAAJ,12799.0,30.0,2011.0
Stefan Savage,http://cseweb.ucsd.edu/~savage,_JhgbioAAAAJ,46659.0,86.0,1993.0
Pradeep K. Khosla,http://chancellor.ucsd.edu/chancellor-khosla,HtgKHRIAAAAJ,24817.0,83.0,
Zhiting Hu,http://zhiting.ucsd.edu,N7_xhHoAAAAJ,6698.0,36.0,2013.0
Tajana Rosing,http://cseweb.ucsd.edu/~trosing,3smyfesAAAAJ,16416.0,63.0,1990.0
Sam Buss,http://www.math.ucsd.edu/~sbuss,HlXPvCoAAAAJ,7812.0,41.0,1978.0
Christine Alvarado,https://sites.google.com/a/eng.ucsd.edu/alvarado/home,kAQ5y8QAAAAJ,2941.0,25.0,1997.0
Glenn Tesler,http://www.math.ucsd.edu/~gptesler,,,,
Scott B. Baden,http://cseweb.ucsd.edu/~baden,qjzNW6EAAAAJ,2901.0,28.0,
Daniele Micciancio,http://cseweb.ucsd.edu/~daniele,8rjreLIAAAAJ,14221.0,48.0,1995.0
Nadir Weibel,https://www.ubicomp.ucsd.edu/weibel,KMVQjuQAAAAJ,2368.0,27.0,2005.0
Alin Deutsch,http://db.ucsd.edu/People/alin,2lZr6WsAAAAJ,7464.0,41.0,1994.0
Jeanne Ferrante,http://cseweb.ucsd.edu/~ferrante,sMN63KwAAAAJ,12556.0,43.0,1973.0
George Porter,http://cseweb.ucsd.edu/~gmporter,aWQabOQAAAAJ,6458.0,36.0,2000.0
