name,homepage,scholar_id,citations,h-index,earliest_paper
Tim McInerney,https://www.scs.ryerson.ca/~tmcinern,4jp8rwgAAAAJ,6727.0,21.0,1990.0
David V. Mason,http://sarg.ryerson.ca/dmason,60zl-KoAAAAJ,687.0,12.0,1992.0
Marcus V. dos Santos,https://www.scs.ryerson.ca/~m3santos,,,,
Guanghui Wang,https://www.cs.ryerson.ca/~wangcs/,I_5aoAwAAAAJ,2636.0,29.0,2000.0
Jelena V. Misic,https://www.scs.ryerson.ca/~jmisic,Sd87n8gAAAAJ,8149.0,44.0,1991.0
Vojislav B. Misic,https://www.scs.ryerson.ca/~vmisic,h8Ue1rcAAAAJ,6538.0,40.0,1970.0
Andriy V. Miranskyy,https://www.scs.ryerson.ca/~avm,pPi7tocAAAAJ,795.0,17.0,2004.0
Alexander Ferworn,http://www.scs.ryerson.ca/aferworn,dcBz9dYAAAAJ,969.0,19.0,1998.0
Ali Miri,https://www.scs.ryerson.ca/~samiri,MUNTuIUAAAAJ,3591.0,32.0,2003.0
Abdolreza Abhari,https://www.scs.ryerson.ca/~aabhari,V8hkFhcAAAAJ,757.0,12.0,2000.0
Chen (Cherie) Ding,https://www.scs.ryerson.ca/~cding,,,,
Denis Hamelin,https://www.scs.ryerson.ca/~dhamelin,,,,
Manar Alalfi,https://www.ryerson.ca/science/programs/graduate/computerscience/our-faculty/alalfi-manar,vMfalC8AAAAJ,864.0,18.0,2007.0
Denise M. Woit,https://www.scs.ryerson.ca/~dwoit,,,,
Eric Harley,https://www.scs.ryerson.ca/~eharley,,,,
Isaac Woungang,https://www.scs.ryerson.ca/~iwoungan,,,,
Konstantinos G. Derpanis,http://www.scs.ryerson.ca/~kosta,3Br8x_gAAAAJ,4475.0,25.0,1999.0
Ali Reza Sadeghian,https://www.scs.ryerson.ca/~asadeghi,,,,
Mikhail Soutchanski,http://www.scs.ryerson.ca/~mes,,,,
