name,homepage,scholar_id,citations,h-index,earliest_paper
Phil Kearns,http://www.wm.edu/as/computerscience/faculty/kearns_phil.php,,,,
Hua-Jie Shao,https://shj1987.github.io,5-D7ZLsAAAAJ,1095.0,17.0,2010.0
Adwait Jog,http://adwaitjog.github.io,9RgqL8gAAAAJ,2440.0,18.0,2007.0
Peter Kemper,http://www.wm.edu/as/computerscience/faculty/kemper_p.php,dNdzP9wAAAAJ,2405.0,28.0,1992.0
Bin Ren,http://www.wm.edu/as/computerscience/faculty/ren_bin.php,9Uqwy4UAAAAJ,714.0,15.0,2011.0
Dmitry Evtyushkin,http://www.wm.edu/as/computerscience/faculty,QJ-pKL0AAAAJ,1219.0,12.0,2011.0
Andreas Stathopoulos,http://www.cs.wm.edu/~andreas,2M8BWDkAAAAJ,2075.0,21.0,1991.0
Adwait Nadkarni,https://www.adwaitnadkarni.com,Al2MvLoAAAAJ,519.0,11.0,2011.0
Virginia Torczon,http://www.wm.edu/as/computerscience/faculty/torczon_v.php,,,,
Zhenming Liu,http://www.wm.edu/as/computerscience/faculty/liu_zhenming.php,ozfkg2sAAAAJ,2438.0,19.0,2008.0
Weizhen Mao,http://www.cs.wm.edu/~wm,,,,
Pieter Peers,http://www.cs.wm.edu/~ppeers,We8Oy0EAAAAJ,3317.0,30.0,2002.0
Qun Li,http://www.cs.wm.edu/~liqun,CtGBKt4AAAAJ,18976.0,68.0,1990.0
Gang Zhou,http://www.cs.wm.edu/~gzhou,fOznM_YAAAAJ,10971.0,42.0,2004.0
Yifan Sun,https://syifan.github.io,LZg-kGAAAAAJ,693.0,15.0,2013.0
Evgenia Smirni,http://www.cs.wm.edu/~esmirni,1Ed4HYUAAAAJ,5604.0,42.0,1993.0
Oscar Chaparro,https://ojcchar.github.io,B90VFVYAAAAJ,507.0,12.0,2012.0
Robert Michael Lewis,http://www.wm.edu/as/computerscience/faculty/lewis_rm.php,hdoSFx0AAAAJ,10913.0,35.0,1978.0
Denys Poshyvanyk,http://www.cs.wm.edu/~denys,gyLFs0IAAAAJ,16839.0,77.0,2005.0
