name,homepage,scholar_id,citations,h-index
Santosh Kumar,https://www.memphis.edu/cs/people/faculty_pages/santosh-kumar.php,f0i_WNoAAAAJ,9189.0,40.0
Myounggyu Won,https://www.cs.memphis.edu/~mwon1,XCEYO_kAAAAJ,1147.0,17.0
Dipankar Dasgupta,https://www.memphis.edu/cs/people/faculty_pages/dipankar-dasgupta.php,tMAWoyoAAAAJ,19489.0,63.0
Sajjan G. Shiva,https://www.memphis.edu/cs/people/faculty_pages/sajjan-shiva.php,rDMVc08AAAAJ,2956.0,25.0
Scott D. Fleming,https://www.memphis.edu/cs/people/faculty_pages/scott-fleming.php,kLNLkgkAAAAJ,1176.0,18.0
Thomas M. Watson,https://www.memphis.edu/accolades/college-awards/ecra.php,,,
Vinhthuy Phan,https://www.memphis.edu/cs/people/faculty_pages/vinhthuy-phan.php,ZeYNKGcAAAAJ,401.0,12.0
Max H. Garzon,https://www.memphis.edu/cs/people/faculty_pages/max-garzon.php,,,
Vasile Rus,https://www.memphis.edu/cs/people/faculty_pages/vasile-rus.php,k8jqnc8AAAAJ,5168.0,35.0
Deepak Venugopal,https://www.memphis.edu/cs/people/faculty_pages/deepak-venugopal.php,,,
Lan Wang,https://www.memphis.edu/cs/people/faculty_pages/lan-wang.php,o_hq28oAAAAJ,9566.0,39.0
