name,homepage,scholar_id,citations,h-index,earliest_paper
Eugenia Ha Rim Rho,https://website.cs.vt.edu/people/faculty/eugenia-rho.html,,,,
Adrian Sandu,http://people.cs.vt.edu/~asandu,A7fZNg0AAAAJ,8902.0,52.0,1970.0
Peng Gao,https://people.cs.vt.edu/penggao,lJJpxssAAAAJ,409.0,9.0,2015.0
Sara Hooshangi,https://nvc.cs.vt.edu/faculty/Sara-Hooshangi.html,,,,
Anuj Karpatne,https://people.cs.vt.edu/karpatne,aJdbHAoAAAAJ,2809.0,20.0,2011.0
Yang Cindy Yi,https://www.yangyi.ece.vt.edu,ceRq6DEAAAAJ,2090.0,22.0,2005.0
Dawei Zhou,https://website.cs.vt.edu/people/faculty/dawei-zhou.html,8dakqOgAAAAJ,477.0,13.0,2011.0
Wenjing Lou,http://www.cnsr.ictas.vt.edu/WJLou.html,hM8uAwoAAAAJ,39712.0,83.0,1997.0
Ismini Lourentzou,https://website.cs.vt.edu/people/faculty/ismini-lourentzou.html,CjxQvikAAAAJ,244.0,8.0,2013.0
Dimitrios S. Nikolopoulos,https://www.dsniko.net,,,,
Kurt Luther,https://www.kurtluther.com,b8cNEHwAAAAJ,1581.0,18.0,2007.0
Chris Brown,https://website.cs.vt.edu/people/faculty/chris-brown.html,MmgiKNkAAAAJ,82.0,5.0,2013.0
Mohammed Seyam,https://sites.google.com/vt.edu/mohammedseyam/home,OYautn0AAAAJ,84.0,6.0,2007.0
Shaddi Hasan,https://people.cs.vt.edu/shaddi,IHburiYAAAAJ,1451.0,12.0,2010.0
Debswapna Bhattacharya,https://people.cs.vt.edu/dbhattacharya,C2oEgoYAAAAJ,1220.0,15.0,1979.0
Taejoong Chung,https://taejoong.github.io,_0mWbaoAAAAJ,845.0,16.0,2010.0
Sang Won Lee,http://people.cs.vt.edu/sangwonlee,II2NGWIAAAAJ,519.0,13.0,2011.0
Bob Edmison,http://people.cs.vt.edu/~kedmison,lIZFlMUAAAAJ,38.0,4.0,2010.0
Kirk W. Cameron,https://people.cs.vt.edu/~cameron,ZH1pa0EAAAAJ,4469.0,33.0,1998.0
Liting Hu,https://people.cs.vt.edu/~litinghu,jG2EBooAAAAJ,866.0,10.0,2008.0
Deborah G. Tatar,https://thirdlab.cs.vt.edu/people/deborah-tatar,LWcEVAIAAAAJ,5168.0,33.0,1986.0
Jamie Sikora,https://www.perimeterinstitute.ca/people/jamie-sikora,EBxyd5gAAAAJ,442.0,14.0,2007.0
Dan Williams,https://people.cs.vt.edu/djwillia,mu2x-1YAAAAJ,1920.0,19.0,2004.0
Lifu Huang,https://wilburone.github.io,76IEGtYAAAAJ,1591.0,21.0,2010.0
Matthew Hicks,http://www.impedimenttoprogress.com,_rJCgzIAAAAJ,2244.0,22.0,2008.0
Godmar Back,https://people.cs.vt.edu/~gback,WUb-KZ0AAAAJ,2514.0,21.0,1994.0
Changwoo Min,https://multics69.github.io,6VDjaN4AAAAJ,1804.0,20.0,1998.0
Thang Hoang,https://website.cs.vt.edu/people/faculty/thang-hoang.html,VCjqqogAAAAJ,661.0,13.0,2012.0
Bimal Viswanath,https://people.cs.vt.edu/vbimal,bu1SCOuD_CMC,5457.0,20.0,2009.0
Edward A. Fox,https://fox.cs.vt.edu/foxinfo.html,KcbSBrUAAAAJ,19885.0,62.0,1980.0
Ing-Ray Chen,http://people.cs.vt.edu/~irchen,UdangLEAAAAJ,9943.0,49.0,1985.0
Alexey Onufriev,http://people.cs.vt.edu/onufriev,b7TXx40AAAAJ,22823.0,45.0,1996.0
T. M. Murali,https://bioinformatics.cs.vt.edu/~murali,pdpOwtkAAAAJ,4604.0,30.0,1995.0
