name,homepage,scholar_id,citations,h-index
János Csirik,https://www.inf.u-szeged.hu/~csirik,HQe8ScYAAAAJ,4469.0,33.0
Gábor Berend,http://www.inf.u-szeged.hu/~berendg,JMafrTEAAAAJ,496.0,12.0
József Békési,http://www.jgypk.hu/~bekesi,,,
György Kalmár,http://inf.u-szeged.hu/~kalmargy,i4g8nFYAAAAJ,20.0,2.0
Zoltán Fülöp,http://www.inf.u-szeged.hu/~fulop,qnc6HewAAAAJ,1516.0,21.0
János Balogh,http://www.jgypk.hu/~balogh,fh8Y2ZYAAAAJ,652.0,14.0
Tibor Gyimóthy,https://gyimothy.sed.hu,kT_qmvMAAAAJ,5732.0,36.0
Tamás Vinkó,http://www.inf.u-szeged.hu/~tvinko,XZFOFSwAAAAJ,798.0,14.0
Márk Jelasity,http://www.inf.u-szeged.hu/~jelasity,ScDJx68AAAAJ,8658.0,40.0
Zoltan Kato,http://www.inf.u-szeged.hu/~kato,fgKiVvYAAAAJ,2615.0,25.0
Miklos Maroti,https://www.math.u-szeged.hu/~mmaroti,NAPEgBUAAAAJ,9317.0,34.0
Richárd Farkas,http://www.inf.u-szeged.hu/~rfarkas,YCQqrdcAAAAJ,3547.0,24.0
