name,homepage,scholar_id,citations,h-index,earliest_paper
Thirimachos Bourlai,https://www.statler.wvu.edu/faculty-staff/faculty/thirimachos-bourlai,vBn6I3sAAAAJ,2280.0,28.0,2004.0
Natalia A. Schmid,https://www.statler.wvu.edu/faculty-staff/faculty/natalia-schmid,EP5j9ssAAAAJ,2094.0,22.0,1999.0
Victor Fragoso,https://www.statler.wvu.edu/faculty-staff/faculty/victor-fragoso,7XBDDigAAAAJ,423.0,9.0,2011.0
Afzel Noore,https://www.statler.wvu.edu/faculty-staff/adjunct-faculty/afzel-noore,rEopbiMAAAAJ,4585.0,37.0,1988.0
Guodong Guo,https://www.statler.wvu.edu/faculty-staff/faculty/guodong-guo,f2Y5nygAAAAJ,11501.0,49.0,
Elaine M. Eschen,https://www.statler.wvu.edu/faculty-staff/faculty/elaine-eschen,,,,
Norma Saiph Savage,https://www.statler.wvu.edu/faculty-staff/faculty/saiph-savage,GHGHYZAAAAAJ,1980.0,23.0,1993.0
Nasser M. Nasrabadi,https://www.statler.wvu.edu/faculty-staff/faculty/nasser-nasrabadi,PNhUilMAAAAJ,17490.0,55.0,1980.0
Don Adjeroh,https://www.statler.wvu.edu/faculty-staff/faculty/donald-a-adjeroh,,,,
Katerina Goseva-Popstojanova,https://www.statler.wvu.edu/faculty-staff/faculty/katerina-goseva-popstojanova,Zi5QsLYAAAAJ,5000.0,32.0,1991.0
Gianfranco Doretto,https://www.statler.wvu.edu/faculty-staff/faculty/gianfranco-doretto,ReEG0FwAAAAJ,5955.0,26.0,1997.0
Vinod K. Kulathumani,https://www.statler.wvu.edu/faculty-staff/faculty/vinod-kulathumani,nzH29FgAAAAJ,2890.0,18.0,1999.0
Hany H. Ammar,http://community.wvu.edu/~hhammar,,,,
K. Subramani,http://community.wvu.edu/~krsubramani,,,,
Jeremy Dawson,https://www.statler.wvu.edu/faculty-staff/faculty/jeremy-dawson,,,,
