name,homepage,scholar_id,citations,h-index,earliest_paper
Kensuke Harada,https://www.roboticmanipulation.org,X5hwUlIAAAAJ,12782.0,46.0,1949.0
Yasuyuki Matsushita,http://www-infobiz.ist.osaka-u.ac.jp/en/member/matsushita,eomC7sIAAAAJ,10982.0,51.0,1964.0
Parinya Punpongsanon,https://punpongsanon.info,QEG4f_0AAAAJ,424.0,10.0,2012.0
Yoshiki Higo,https://sdl.ist.osaka-u.ac.jp/~higo/wordpress,FtXOWgMAAAAJ,2669.0,26.0,2002.0
Shinji Kusumoto,https://sdl.ist.osaka-u.ac.jp/~kusumoto/index-e.htm,,,,
Kosuke Sato,http://kosuke-sato.jimdo.com,M6GEeq8AAAAJ,3638.0,34.0,1960.0
Masayuki Murata,https://www.anarg.jp/index.php?lang=en,swOZ1VUAAAAJ,14735.0,47.0,
Yasushi Sakurai,http://www.dm.sanken.osaka-u.ac.jp/~yasushi/index.html,yeKnVr0AAAAJ,3382.0,25.0,2000.0
Makoto Matsushita,https://sel.ist.osaka-u.ac.jp/people/matusita,,,,
Hajime Magahara,https://www.is.ids.osaka-u.ac.jp/author/hajime-nagahara,CZyXjREAAAAJ,2763.0,25.0,1991.0
Masahiro Shimizu,https://www.grad.sys.es.osaka-u.ac.jp/people-%E6%95%99%E5%93%A1%E4%B8%80%E8%A6%A7,,,,
Yuki Arase,http://www-bigdata.ist.osaka-u.ac.jp/ja/home,uoL1Wr0AAAAJ,1179.0,16.0,1965.0
Daisuke Iwai,https://www.sens.sys.es.osaka-u.ac.jp,F0hxD5AAAAAJ,2103.0,24.0,2002.0
Yasuko Matsubara,https://www.dm.sanken.osaka-u.ac.jp/~yasuko,Y1ZfsAwAAAAJ,1144.0,14.0,2007.0
Yuichiro Yoshikawa,https://sites.google.com/a/irl.sys.es.osaka-u.ac.jp/top-en/home/member,riQPlUcAAAAJ,3007.0,26.0,2000.0
Koh Hosoda,https://www-arl.sys.es.osaka-u.ac.jp/site,5ledxpAAAAAJ,7446.0,41.0,1990.0
Katsuro Inoue,https://sel.ist.osaka-u.ac.jp/people/inoue,S1iG5sAAAAAJ,8898.0,44.0,
Masahiro Furukawa,https://sites.google.com/site/masahirofurukawa,n3CKPPsAAAAJ,131.0,6.0,2007.0
Takao Onoye,http://www-ise2.ist.osaka-u.ac.jp/~onoye,Ln4-4eAAAAAJ,2456.0,25.0,1992.0
Taro Maeda,https://www.ist.osaka-u.ac.jp/english/introduction/professors/bioinformatic-engineering/human-information-engineering/taro-maeda.html,,,,
Masayuki Numao,http://www.ai.sanken.osaka-u.ac.jp/en,o__ttLoAAAAJ,1962.0,22.0,1983.0
Fumio Okura,http://www-infobiz.ist.osaka-u.ac.jp/user/okura,Qw72w48AAAAJ,561.0,11.0,2009.0
Yuta Nakashima,https://www.n-yuta.jp,LNvd0VQAAAAJ,1160.0,17.0,2006.0
Takahiro Hara,http://www-nishio.ist.osaka-u.ac.jp/~hara,Ly6jrBoAAAAJ,7860.0,41.0,1964.0
Takuya Maekawa,https://www.ist.osaka-u.ac.jp/english/introduction/professors/multimedia-engineering/multimedia-data-engineering/takuya-maekawa.html,CxP8QCwAAAAJ,1578.0,22.0,1964.0
Hiroshi Ishiguro,https://eng.irl.sys.es.osaka-u.ac.jp,BNhvcyYAAAAJ,30504.0,86.0,1964.0
Yasushi Yagi,http://www.am.sanken.osaka-u.ac.jp,byuA_UEAAAAJ,11369.0,49.0,1963.0
Masanori Hashimoto,https://www.ist.osaka-u.ac.jp/english/introduction/professors/information-systems-engineering/integrated-system-design/masanori-hashimoto.html,sRfe3mgAAAAJ,2629.0,28.0,
Tomohiro Mashita,https://www.ist.osaka-u.ac.jp/english/introduction/professors/information-systems-engineering/integrated-media-environment/tomohiro-mashita.html,HuUarfEAAAAJ,559.0,12.0,1959.0
Haruo Takemura,https://www.ist.osaka-u.ac.jp/english/introduction/professors/information-systems-engineering/integrated-media-environment/haruo-takemura.html,iiYmQ9YAAAAJ,9296.0,38.0,
Makoto Onizuka,http://www-bigdata.ist.osaka-u.ac.jp/index_en.html,oJ6G8gUAAAAJ,1858.0,18.0,1993.0
Ken-ichi Fukui,http://www.ai.sanken.osaka-u.ac.jp/en/index.php?Ken-ichi%20Fukui,,,,
