name,homepage,scholar_id,citations,h-index
Michael King,https://www.fit.edu/faculty-profiles/5/michael-king,Fdq2INsAAAAJ,10716.0,54.0
David O. LeVan,https://www.fit.edu/faculty-profiles/3/david-levan,,,
Eraldo Ribeiro,https://www.fit.edu/faculty-profiles/3/eraldo-ribeiro,OhniypkAAAAJ,2448.0,18.0
Debasis Mitra,https://cs.fit.edu/~dmitra,NhlPH-8AAAAJ,669.0,13.0
Marco Carvalho,https://www.fit.edu/faculty-profiles/5/marco-carvalho/?tracks=mcarvalho,P9uSzk4AAAAJ,2651.0,24.0
Ryan Stansifer,https://cs.fit.edu/~ryan,,,
Heather Anne Crawford,https://www.fit.edu/faculty-profiles/3/heather-crawford/?tracks=hcrawford,1Xd7XlMAAAAJ,825.0,12.0
William Shoaff,http://fit.academia.edu/WilliamShoaff,,,
Phil F. Chan,https://cs.fit.edu/~pkc,R_q2Nh4AAAAJ,15176.0,47.0
Keith B. Gallagher,https://cs.fit.edu/~kgallagher,iDCDbB4AAAAJ,2389.0,19.0
William Allen,http://www.fit.edu,,,
Ronaldo Menezes,https://cs.fit.edu/~rmenezes/Home.html,eHej2g8AAAAJ,2467.0,20.0
Thomas C. Eskridge,http://fit.academia.edu/ThomasCEskridge,ViQDZUkAAAAJ,2205.0,18.0
