name,homepage,scholar_id,citations,h-index
Abir Das,http://cse.iitkgp.ac.in/~adas,L4yEk2UAAAAJ,1978.0,15.0
Pawan Goyal,http://cse.iitkgp.ac.in/~pawang,F14FHsIAAAAJ,2313.0,23.0
P. P. Chakrabarti,http://cse.iitkgp.ac.in/~ppchak,yq-ekN8AAAAJ,3152.0,27.0
Sourangshu Bhattacharya,http://cse.iitkgp.ac.in/~sourangshu,IixRsP0AAAAJ,622.0,11.0
Sandip Chakraborty,http://cse.iitkgp.ac.in/~sandipc,dEpbTokAAAAJ,11871.0,54.0
Chitta Mandal,http://cse.iitkgp.ac.in/~chitta,jkoZD_MAAAAJ,1696.0,23.0
Somak Aditya,https://adityasomak.github.io,2shiHpwAAAAJ,378.0,11.0
Rajib Mall,http://www.iitkgp.ac.in/department/CS/faculty/cs-rajib,dt2fhqYAAAAJ,4481.0,34.0
Soumyajit Dey,http://cse.iitkgp.ac.in/~soumya,XJI3nYIAAAAJ,251.0,8.0
Sudip Mishra,http://cse.iitkgp.ac.in/~smisra,h33l-A8AAAAJ,13332.0,56.0
Chittaranjan Mandal,http://cse.iitkgp.ac.in/~chitta/pubs,jkoZD_MAAAAJ,1696.0,23.0
Pabitra Mitra,http://cse.iitkgp.ac.in/~pabitra,5bXSZPYAAAAJ,9483.0,42.0
Anupam Basu,http://cse.iitkgp.ac.in/~debmalya/AB_website,AMidPUMAAAAJ,3809.0,26.0
Dipanwita Roy Chowdhury,http://www.facweb.iitkgp.ac.in/~drc,F_MRaWYAAAAJ,3248.0,25.0
Debdeep Mukhopadhyay,http://cse.iitkgp.ac.in/~debdeep,2ELnl9IAAAAJ,7683.0,42.0
Saptarshi Ghosh,https://sites.google.com/site/saptarshighosh,7TmKZv0AAAAJ,3492.0,31.0
Pallab Dasgupta,http://cse.iitkgp.ac.in/~pallab,Pw4jS9sAAAAJ,1553.0,20.0
Sudebkumar Prasant Pal,http://www.facweb.iitkgp.ac.in/~spp,NLt-RjAAAAAJ,392.0,11.0
Rajat Subhra Chakraborty,https://sites.google.com/site/rschakraborty,ITIg9kkAAAAJ,5658.0,33.0
Arobinda Gupta,http://cse.iitkgp.ac.in/~agupta,vAiphMEAAAAJ,1964.0,21.0
Bivas Mitra,http://cse.iitkgp.ac.in/~bivasm,mQ57itUAAAAJ,836.0,17.0
Partha Bhowmick,http://cse.iitkgp.ac.in/~pb,ExC8yMUAAAAJ,1256.0,15.0
Somindu C. Ramanna,https://cse.iitkgp.ac.in/~somindu,,,
Indranil Sengupta,http://www.facweb.iitkgp.ac.in/~isg,,,
Satrajit Ghosh,https://satcrypt.github.io,DC6eaGYAAAAJ,204.0,7.0
Ayan Chaudhury,https://cse.iitkgp.ac.in/~ayanc,jv9PrfgAAAAJ,287.0,7.0
K. Sreenivas Rao,https://cse.iitkgp.ac.in/~ksrao,TATEL2EAAAAJ,5265.0,37.0
Mainack Mondal,https://cse.iitkgp.ac.in/~mainack,AUllGoAAAAAJ,1206.0,17.0
Sudeshna Kolay,https://cse.iitkgp.ac.in/~skolay,TIz3qpUAAAAJ,274.0,10.0
Partha Pratim Das,http://cse.iitkgp.ac.in/~ppd,UVYRNncAAAAJ,5601.0,19.0
Swagato Sanyal,https://cse.iitkgp.ac.in/~swagato,,,
Palash Dey,https://cse.iitkgp.ac.in/~palash,BkDCPiIAAAAJ,350.0,11.0
Animesh Mukherjee,https://cse.iitkgp.ac.in/~animeshm,lf7-deEAAAAJ,3245.0,29.0
Debasis Samanta,https://cse.iitkgp.ac.in/~dsamanta,RctLVqcAAAAJ,1956.0,24.0
Sujoy Ghose,http://www.myopencourses.com/profile/prof-sujoy-ghosh,swQD_vgAAAAJ,567.0,11.0
Niloy Ganguly,http://www.facweb.iitkgp.ac.in/~niloy,hCbFmUUAAAAJ,7365.0,40.0
Abhijit Das,http://cse.iitkgp.ac.in/~abhij,vpWPul0AAAAJ,5771.0,27.0
Shamik Sural,http://www.facweb.iitkgp.ac.in/~shamik,zmtaYLIAAAAJ,5922.0,37.0
Bhargab B. Bhattacharya,https://www.isical.ac.in/~bhargab,udxFQnwAAAAJ,4608.0,33.0
Aritra Hazra,https://cse.iitkgp.ac.in/~aritrah,nYazw20AAAAJ,230.0,9.0
Pralay Mitra,http://cse.iitkgp.ac.in/~pralay,LPzuRBUAAAAJ,316.0,9.0
Jayanta Mukherjee,http://www.facweb.iitkgp.ac.in/~jay,,,
Sudeshna Sarkar,http://www.facweb.iitkgp.ac.in/~sudeshna,AwP_bbsAAAAJ,2629.0,27.0
Soumya K. Ghosh,http://www.facweb.iitkgp.ac.in/~skg,wTtdGd4AAAAJ,5832.0,34.0
