name,homepage,scholar_id,citations,h-index
Kenji Suzuki,http://www.ai.iit.tsukuba.ac.jp/kenji,,,
Sayan Sarcar,https://sayansarcar.github.io/index.html,bIkNGO4AAAAJ,466.0,12.0
Fumihide Tanaka,http://fumihide-tanaka.org/lab/en/members.html,,,
Yoshihiro Kuroda,https://www.lelab.jp/%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC/%E7%95%A5%E6%AD%B4,Q5Hmc_oAAAAJ,720.0,14.0
Yoichi Ochiai,https://digitalnature.slis.tsukuba.ac.jp/2018/09/yoichi-ochiai,obhH0jkAAAAJ,1393.0,18.0
Kazuhiko Kato,http://www.osss.cs.tsukuba.ac.jp/kato,P6Weh7AAAAAJ,2182.0,23.0
Osamu Tatebe,http://www.hpcs.cs.tsukuba.ac.jp/~tatebe/index.html,xo0xrM4AAAAJ,1997.0,22.0
Takashi Inui,http://www.nlp.mibel.cs.tsukuba.ac.jp/~inui/en,K4kblEwAAAAJ,1481.0,16.0
Masataka Goto,https://staff.aist.go.jp/m.goto/index-j.html,BkZggZkAAAAJ,15709.0,56.0
Hiromi Mochiyama,http://www.frlab.iit.tsukuba.ac.jp/member/motiyama.html,,,
Takeshi Yamada,http://www.mmlab.cs.tsukuba.ac.jp/~takeshi/english,nHCB2CkAAAAJ,5120.0,29.0
Satoshi Iizuka,http://iizuka.cs.tsukuba.ac.jp/index_eng.html,fncZHTUAAAAJ,2918.0,15.0
Yoshihiro Kanamori,http://kanamori.cs.tsukuba.ac.jp,VBbbbrAAAAAJ,685.0,13.0
Fumio Machida,https://www.cs.tsukuba.ac.jp/~machida/en,l6wFyNMAAAAJ,1866.0,23.0
Keiichi Zempo,http://www.xpercept.aclab.esys.tsukuba.ac.jp/index.php/about/zempo,wExHgv4AAAAJ,197.0,7.0
Kazuto Fukuchi,https://kfukuchi.me,496_ICsAAAAJ,149.0,6.0
Jun'ichi Hoshino,http://www.entcomp.iit.tsukuba.ac.jp/jhoshino,,,
Jun Sakuma,https://www.mdl.cs.tsukuba.ac.jp,v5emswQAAAAJ,3578.0,28.0
Akiya Kamimura,https://staff.aist.go.jp/kamimura.a/dsysdl/index.html,6NFwDKEAAAAJ,2978.0,21.0
Taku Hachisu,http://hachisu.net/en/profile,mldMyOsAAAAJ,582.0,13.0
Takehito Utsuro,http://nlp.iit.tsukuba.ac.jp/member/utsuro/home.html,,,
Hidehiko Shishido,https://sites.google.com/image.iit.tsukuba.ac.jp/shishido,,,
Yoshinari Kameda,http://www.kameda-lab.org/index-e.html,YaVcM9cAAAAJ,2170.0,22.0
Hirotaka Osawa,http://hiroosa.com/biography,HpypdTcAAAAJ,1183.0,17.0
Toshiyuki Amagasa,http://www.kde.cs.tsukuba.ac.jp/~amagasa/hikifarm/home/?IndexE,L4hdfUUAAAAJ,1941.0,18.0
Itaru Kitahara,https://sites.google.com/image.iit.tsukuba.ac.jp/kitahara,mphxDdYAAAAJ,1778.0,21.0
Yasushi Shinjo,http://www.cs.tsukuba.ac.jp/~yas,IkaonwkAAAAJ,678.0,10.0
Youhei Akimoto,https://sites.google.com/site/youheiakimotospage,m7OXdsUAAAAJ,1386.0,22.0
Akira Imakura,https://researchmap.jp/imakura?lang=en,wPEcfhkAAAAJ,546.0,11.0
Seung-Hee Lee,https://kansei.design/en/author/seunghee-lee,,,
Hiroshi Unno,http://www.cs.tsukuba.ac.jp/~uhiro,H73eAAsAAAAJ,697.0,14.0
Hiroyuki Kitagawa,http://www.kde.cs.tsukuba.ac.jp/~kitagawa/index.html,dJccY-UAAAAJ,4865.0,26.0
Fumio Kanehiro,https://staff.aist.go.jp/f-kanehiro,VsmhlM8AAAAJ,16470.0,61.0
Shinsuke Kondoh,https://staff.aist.go.jp/kondou-shinsuke,,,
Ikkaku Kawaguchi,https://sites.google.com/view/ikkakukawaguchi/e-home,,,
Yuki Hashimoto,https://sites.google.com/site/yhrips,,,
Moritoshi Yasunaga,http://www.islab.cs.tsukuba.ac.jp/~yasunaga/EnglishWebPage/index.html,,,
Yohei Seki,https://trios.tsukuba.ac.jp/researcher/0000002520,f65jursAAAAJ,885.0,14.0
Sho Tsugawa,http://www.mibel.cs.tsukuba.ac.jp/~s-tugawa/index.html,S62_6nIAAAAJ,677.0,11.0
Ryusuke Sagawa,https://staff.aist.go.jp/ryusuke.sagawa,aqKxVlQAAAAJ,3173.0,29.0
Mizuki Oka,https://websci.cs.tsukuba.ac.jp/member/mizuki-oka,,,
Akira Nukada,https://www.hpcs.cs.tsukuba.ac.jp/~nukada,vjE9JnYAAAAJ,2017.0,20.0
Yoshio Matsumoto,https://staff.aist.go.jp/yoshio.matsumoto/profile/biography_e.html,dXvBoPYAAAAJ,4304.0,35.0
Makoto P. Kato,https://www.mpkato.net,Gr2Q2dQAAAAJ,914.0,19.0
