name,homepage,scholar_id,citations,h-index,earliest_paper
Brian Ricks,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/brian-ricks.php,S-C6lf0AAAAJ,78.0,5.0,2010.0
Brian Dorn,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/brian-dorn.php,9xYR_5YAAAAJ,1295.0,19.0,2003.0
Qiuming Zhu,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/qiuming-zhu.php,,,,
Mahadevan Subramaniam,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/mahadevan-subramaniam.php,,,,
Jon Youn,https://www.cune.edu,,,,
Hassan A. Farhat,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/hassan-farhat.php,,,,
Harvey P. Siy,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/harvey-siy.php,hxhRszYAAAAJ,2891.0,20.0,1994.0
Stanley A. Wileman,http://cs2.ist.unomaha.edu/~stanw,,,,
Myoungkyu Song,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/myoungkyu-song.php,,,,
Hai-Feng Guo,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/haifeng-guo.php,,,,
Parvathi Chundi,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/parvathi-chundi.php,IQATIvYAAAAJ,1172.0,14.0,1995.0
Azad Azadmanesh,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/azad-azadmanesh.php,,,,
Prithviraj Dasgupta,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/prithviraj-dasgupta.php,mc__RjcAAAAJ,2259.0,23.0,1998.0
Victor Winter,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/victor-winter.php,2uaYe_oAAAAJ,80.0,2.0,1997.0
Zhengxin Chen,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/zhengxin-chen.php,,,,
Yuliya Babovich,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/yuliya-lierler.php,KlTD9RQAAAAJ,1569.0,20.0,2000.0
Sanjukta Bhowmick,https://www.unomaha.edu/college-of-information-science-and-technology/about/faculty-staff/sanjukta-bhowmick.php,MegF9mYAAAAJ,946.0,17.0,2002.0
