name,homepage,scholar_id,citations,h-index
Sungroh Yoon,http://ailab.snu.ac.kr,Bphl_fIAAAAJ,7201.0,43.0
Gahgene Gweon,http://cclab.snu.ac.kr,l4hK4eEAAAAJ,1004.0,15.0
Youngki Lee,https://youngkilee.blogspot.com,Ltw2N1QAAAAJ,,
Jaewoong Sim,https://jaewoong.org,4U65ziwAAAAJ,2168.0,17.0
Jihong Kim,http://cares.snu.ac.kr,E9A5Rv8AAAAJ,4543.0,33.0
Myung-Soo Kim,http://3map.snu.ac.kr/mskim,F7VO16YAAAAJ,5205.0,36.0
Jung Hee Cheon,http://www.math.snu.ac.kr/~jhcheon/xe2,KlTc3U4AAAAJ,9141.0,43.0
Sun Kim,http://biohealth.snu.ac.kr,lI_oWS8AAAAJ,4557.0,32.0
Hyoung-Joo Kim,http://idb.snu.ac.kr/index.php/Member:Hyoung-Joo_Kim,J93QCl0AAAAJ,2990.0,18.0
Jinwook Seo,http://hcil.snu.ac.kr,K1GtDBEAAAAJ,3526.0,27.0
Sang-Goo Lee,http://ids.snu.ac.kr/site/members/M_Sang-goo_Lee.html,sg7xgbsAAAAJ,1875.0,24.0
Sang Lyul Min,http://archi.snu.ac.kr/symin,U4ewRr0AAAAJ,7944.0,40.0
Gunhee Kim,https://vision.snu.ac.kr/gunhee,CiSdOV0AAAAJ,4576.0,40.0
Jaejin Lee,http://aces.snu.ac.kr/~jlee,6JaKru0AAAAJ,4768.0,36.0
Hyun Oh Song,http://ai.stanford.edu/~hsong,ScoZZPsAAAAJ,3060.0,17.0
Yunheung Paek,http://sor.snu.ac.kr/document/professors,lQ6E5F0AAAAJ,3281.0,27.0
Byung Ro Moon,http://soar.snu.ac.kr/members,N_9XjY4AAAAJ,4404.0,31.0
Jin-Soo Kim,https://cse.snu.ac.kr/en/professor/jin-soo-kim,U7b2CX0AAAAJ,5980.0,33.0
Seung-won Hwang,http://seungwonh.github.io,63bBmc3mYrAC,3966.0,34.0
Yanghee Choi,http://mmlab.snu.ac.kr/~yhchoi,Xm_UZdkAAAAJ,10736.0,56.0
Chung-Kil Hur,http://sf.snu.ac.kr/gil.hur,ognOntwAAAAJ,1789.0,23.0
Kunsoo Park,http://theory.snu.ac.kr/?page_id=982,StNl-UAAAAAJ,4750.0,29.0
