name,homepage,scholar_id,citations,h-index
Manish Narwaria,http://www.daiict.ac.in/daiict/people/faculty.html,RVc_D94AAAAJ,2329.0,19.0
Hemant A. Patil,http://intranet.daiict.ac.in/~hemant_patil,9kTiuPIAAAAJ,2476.0,24.0
Naresh Jotwani,http://ieee.daiict.ac.in/erte/naresh-jotwani.html,NOSCHOLARPAGE,,
Dipankar Nagchoudhuri,http://ieee.daiict.ac.in/iwhssd/dnc.html,NOSCHOLARPAGE,,
Prasenjit Majumder,http://intranet.daiict.ac.in/~p_majumder,Cf-XE08AAAAJ,,
Laxminarayana S. Pillutla,http://intranet.daiict.ac.in/~laxminarayana_pillutla,_0RzZvAAAAAJ,173.0,6.0
Sanjay Srivastava,http://intranet.daiict.ac.in/~sanjay_srivastava,VpSSqi0AAAAJ,25531.0,26.0
Amit Sengupta,http://www.daiict.ac.in/daiict/people/faculty.html,NOSCHOLARPAGE,,
Mukesh Tiwari,http://www.daiict.ac.in/daiict/people/faculty.html,djHLBSAAAAAJ,1571.0,19.0
Anish Mathuria,http://intranet.daiict.ac.in/~anish_mathuria,l3CE25YAAAAJ,1447.0,11.0
Sourish Dasgupta,http://www.daiict.ac.in/daiict/people/faculty.html,dK0_8CcAAAAJ,,
Biswajit Mishra,http://intranet.daiict.ac.in/~biswajitmishra,xmVV6WcAAAAJ,2529.0,27.0
Gagan Garg,http://www.daiict.ac.in/daiict/people/faculty.html,0FoDjjIAAAAJ,820.0,17.0
Manik Lal Das,http://intranet.daiict.ac.in/~maniklal_das,wlTzQBMAAAAJ,3027.0,21.0
Suman K. Mitra,http://faculty.daiict.ac.in/suman-mitra,9SLisUQAAAAJ,1398.0,18.0
Minal Bhise,http://www.daiict.ac.in/daiict/people/faculty.html,kYp_iIMAAAAJ,287.0,9.0
Yash Vasavada,http://www.daiict.ac.in/daiict/people/faculty.html,9KkhfBgAAAAJ,325.0,8.0
Saurabh Tiwari,http://www.daiict.ac.in/daiict/people/faculty.html,rjyRdosAAAAJ,406.0,11.0
Rahul Dubey,http://www.daiict.ac.in/daiict/people/faculty.html,w5W-kUsAAAAJ,308.0,7.0
Sanjeev Gupta,http://www.daiict.ac.in/daiict/people/faculty.html,yJ50KJsAAAAJ,2071.0,11.0
Rutu Parekh,http://faculty.daiict.ac.in/rutu-parikh,NOSCHOLARPAGE,,
Ranendu Ghosh,http://www.daiict.ac.in/daiict/people/faculty.html,BDnMnJkAAAAJ,132.0,5.0
Jaideep Mulherkar,http://intranet.daiict.ac.in/~jaideep_mulherkar,J2aDvokAAAAJ,,
Rajib Lochan Das,http://www.daiict.ac.in/daiict/people/faculty.html,Mwvvro4AAAAJ,287.0,8.0
Rajendra Mitharwal,http://faculty.daiict.ac.in/rmitharwal,NOSCHOLARPAGE,,
Manjunath V. Joshi,http://www.daiict.ac.in/daiict/people/faculty.html,iDqnnKkAAAAJ,1696.0,18.0
Aditya Tatu,http://www.daiict.ac.in/daiict/people/faculty.html,f0nqLS8AAAAJ,67.0,4.0
