name,homepage,scholar_id,citations,h-index
Martin Held,https://www.cosy.sbg.ac.at/~held/held.html,NOSCHOLARPAGE,,
Manfred Tscheligi,https://hci.sbg.ac.at/person/tscheligi,m-L0IVgAAAAJ,10849.0,49.0
Christoph M. Kirsch,http://cs.uni-salzburg.at/~ck,jk3kRKAAAAAJ,3917.0,33.0
Ana Sokolova,http://cs.uni-salzburg.at/~anas,TqOx714AAAAJ,1800.0,23.0
Nikolaus Augsten,https://dbresearch.uni-salzburg.at/people/augsten,NOSCHOLARPAGE,,
Wolfgang Pree,http://www.softwareresearch.net/home,NOSCHOLARPAGE,,
Rade Kutil,https://www.cosy.sbg.ac.at/~rkutil,NOSCHOLARPAGE,,
Helmut A. Mayer,https://www.cosy.sbg.ac.at/~helmut/helmut.html,NOSCHOLARPAGE,,
Robert Elsässer,https://algorithms.cosy.sbg.ac.at/group/robert-elsaesser.html,WIY8ymUAAAAJ,1671.0,25.0
Stefan Resmerita,http://cs.uni-salzburg.at/~stefan.resmerita,NOSCHOLARPAGE,,
Sebastian Forster,https://www.cosy.sbg.ac.at/~forster,Ic9r-5sAAAAJ,1333.0,18.0
Roland Kwitt,https://rkwitt.github.io,sfGFi6UAAAAJ,3331.0,31.0
Elmar Eder,https://www.cosy.sbg.ac.at/~eder/eder.html,NOSCHOLARPAGE,,
Andreas Naderlinger,http://www.cs.uni-salzburg.at/~andreas.naderlinger,NOSCHOLARPAGE,,
Andreas Uhl,https://www.cosy.sbg.ac.at/~uhl,NOSCHOLARPAGE,,
Alexander Meschtscherjakov,https://hci.sbg.ac.at/person/meschtscherjakov,YzdqhHIAAAAJ,2336.0,25.0
Helge Hagenauer,https://www.cosy.sbg.ac.at/~hagenau,NOSCHOLARPAGE,,
