name,homepage,scholar_id,citations,h-index
Pablo Barceló,https://users.dcc.uchile.cl/~pbarcelo,iVGrHpgAAAAJ,11787.0,51.0
Jorge Pérez,https://users.dcc.uchile.cl/~jperez,a6lUuiwAAAAJ,4869.0,25.0
Aidan Hogan,http://aidanhogan.com,CP-fgY4AAAAJ,,
Alexandre Bergel,https://www.dcc.uchile.cl/alexandre_bergel,5pG4GQ8AAAAJ,2154.0,24.0
Barbara Poblete,https://www.dcc.uchile.cl/barbara_poblete,eZBFWGEAAAAJ,5841.0,22.0
Nancy Hitschfeld,https://www.dcc.uchile.cl/nancy,NOSCHOLARPAGE,,
María Cecilia Rivara,https://www.dcc.uchile.cl/~mcrivara,NYyo2yQAAAAJ,2993.0,25.0
Patricio V. Poblete,http://www.dcc.uchile.cl/~ppoblete,AZuHYCQAAAAJ,813.0,14.0
Claudio Gutierrez,https://www.dcc.uchile.cl/cgutierr,jzeqUi4AAAAJ,8692.0,36.0
Jocelyn Simmonds,http://www.dcc.uchile.cl/~jsimmond,QTdKy5gAAAAJ,1277.0,19.0
Alejandro Hevia,https://www.dcc.uchile.cl/~ahevia,klAKNOcAAAAJ,908.0,16.0
Benjamin Bustos,http://www.uchile.cl/portafolio-academico/impresion.jsf?username=bustos,NOSCHOLARPAGE,,
Nelson-Antranig Baloian Tataryan,http://www.uchile.cl/portafolio-academico/impresion.jsf?username=nbaloian,NOSCHOLARPAGE,,
Jérémy Barbay,http://www.dcc.uchile.cl/~jbarbay,x7L1W0rvHwsC,1184.0,13.0
Sergio F. Ochoa,https://www.dcc.uchile.cl/sochoa,aUtukf4AAAAJ,4727.0,33.0
