Name,affiliation,homepage,scholar-id,citations,h-index
Mathieu Nancel,CRIStAL,http://mathieu.nancel.net,-Lm0OKsAAAAJ,1102.0,14.0
Thomas Vantroys,CRIStAL,https://www.cristal.univ-lille.fr/profil/vantroys,cBzELssAAAAJ,364.0,10.0
Walter Andrew Rudametkin Ivey,CRIStAL,https://www.cristal.univ-lille.fr/profil/wrudamet,vJQGm9kAAAAJ,961.0,14.0
Simon Bliudze,CRIStAL,https://www.cristal.univ-lille.fr/profil/sbliudze,P_D0LkkAAAAJ,1139.0,16.0
El-Ghazali Talbi,CRIStAL,https://www.cristal.univ-lille.fr/profil/talbi,hoQmzocAAAAJ,18517.0,59.0
Christian Duriez,CRIStAL,https://team.inria.fr/defrost/team-members/christian-duriez,sAA2koIAAAAJ,4852.0,33.0
Joachim Niehren,CRIStAL,http://researchers.lille.inria.fr/niehren,sG4pk9cAAAAJ,3071.0,32.0
Philippe Mathieu,CRIStAL,http://cristal.univ-lille.fr/~mathieu,QCLMl_YAAAAJ,2204.0,22.0
Slawek Staworko,CRIStAL,https://www.cristal.univ-lille.fr/profil/staworko,YERhuN8AAAAJ,1135.0,19.0
Aurélien Bellet,CRIStAL,http://researchers.lille.inria.fr/abellet,j8svx3IAAAAJ,4095.0,20.0
Marc Tommasi,CRIStAL,http://researchers.lille.inria.fr/tommasi,IRyM3b8AAAAJ,3777.0,21.0
Xiangdong Li,CUNY,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Xiangdong-Li,hK4H4z4AAAAJ,32751.0,89.0
Susan D. Epstein,CUNY,http://www.cs.hunter.cuny.edu/~epstein,t7wcF4UAAAAJ,1709.0,23.0
Saptarshi Debroy,CUNY,http://www.cs.hunter.cuny.edu/~S.Debroy99,z1Lr_cUAAAAJ,404.0,11.0
Raffi Khatchadourian,CUNY,http://www.cs.hunter.cuny.edu/~Raffi.Khatchadourian99,gr8cON0AAAAJ,343.0,10.0
Saad Mneimneh,CUNY,http://www.cs.hunter.cuny.edu/~saad,8dRxlUsAAAAJ,278.0,8.0
Sergei N. Artëmov,CUNY,http://sartemov.ws.gc.cuny.edu,MdiynQcAAAAJ,3606.0,29.0
Ioannis Stamos,CUNY,http://www.cs.hunter.cuny.edu/~ioannis,ENLTjooAAAAJ,2620.0,23.0
T. Yung Kong,CUNY,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/T-Yung-Kong,Hbb5UBgAAAAJ,3977.0,23.0
Saul Aaron Kripke,CUNY,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Philosophy/Faculty-Bios/Saul-Kripke,MRCc_ugAAAAJ,40592.0,25.0
Michael E. Kress,CUNY,http://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Michael-E-Kress,VB2V-fAAAAAJ,287.0,10.0
William G. Sakas,CUNY,http://www.cs.hunter.cuny.edu/~sakas,swe6S54AAAAJ,553.0,9.0
Yedidyah Langsam,CUNY,http://eilat.sci.brooklyn.cuny.edu,ahb9YKgAAAAJ,498.0,9.0
Gabor T. Herman,CUNY,http://www.dig.cs.gc.cuny.edu/~gabor,B153thgAAAAJ,33638.0,72.0
Jie Wei,CUNY,https://www.ccny.cuny.edu/profiles/jie-wei,VOuKF7sAAAAJ,1386.0,9.0
Izidor Gertner,CUNY,https://www.ccny.cuny.edu/profiles/izidor-gertner,-3lkqowAAAAJ,1232.0,18.0
Akira Kawaguchi,CUNY,https://www.ccny.cuny.edu/profiles/akira-kawaguchi,7cF0q3YAAAAJ,1612.0,15.0
