,earliest_paper
0,1975
1,1989
2,2004
3,1908
4,1999
5,2004
6,1999
7,2011
8,1988
9,1919
10,
11,1993
12,1980
13,
14,1991
15,1997
16,1999
17,
18,
19,
20,
21,
22,
23,2008
24,1978
25,
26,
27,1999
28,
29,
30,
31,1942
32,1978
33,2001
34,1992
35,
36,1991
37,1972
38,1980
39,2000
40,1984
41,
42,1967
43,
44,1973
45,
46,2001
47,
48,2009
49,
50,2014
51,1987
52,
53,
54,1995
55,1966
56,2008
57,2006
58,2010
59,
60,1983
61,
62,2003
63,2003
64,2012
65,
66,2016
67,
68,2006
69,1986
70,2011
71,1996
72,2002
73,2012
74,1994
75,
76,2006
77,2005
78,2005
79,1993
80,2009
81,1994
82,1986
83,6
84,1993
85,2007
86,1992
87,1984
88,1884
89,1970
90,
91,1996
92,1997
93,2004
94,1990
95,2008
96,1970
97,1917
98,1951
99,2012
100,
101,2006
102,2001
103,2006
104,2005
105,2009
106,1985
107,
108,1982
109,1993
110,
111,2009
112,
113,2010
114,1985
115,
116,1970
117,2008
118,2004
119,1933
120,1980
121,
122,2007
123,
124,
125,2003
126,
127,1989
128,2003
129,2014
130,
131,
132,
133,2009
134,2008
135,2005
136,2003
137,
138,2005
139,
140,2010
141,1770
142,2001
143,1996
144,2008
145,2009
146,
147,2013
148,2010
149,2011
150,
151,
152,2013
153,2002
154,
155,2006
156,
157,
158,2005
159,2000
160,
161,2015
162,2014
163,1982
164,2008
165,
166,2008
167,2009
168,2007
169,1994
170,1989
171,2006
172,2009
173,
174,2010
175,2011
176,2008
177,1997
178,2013
179,2013
180,2009
181,2014
182,2004
183,7
184,2004
185,2008
186,2007
187,2004
188,2005
189,2005
190,2008
191,2014
192,2012
193,2005
194,2004
195,2017
196,1991
197,2016
198,2006
199,2006
200,2009
201,2004
202,2011
203,1911
204,
205,2005
206,2004
207,1984
208,2018
209,2004
210,1999
211,2000
212,2017
213,2011
214,1989
215,2003
216,1999
217,2017
218,1999
219,2009
220,2007
221,1838
222,2005
223,2001
224,2015
225,2004
226,2004
227,2015
228,2002
229,2008
230,2014
231,2007
232,2012
233,1999
234,2018
235,2013
236,
237,2005
238,
239,2014
240,1985
241,1994
242,2009
243,2008
244,1987
245,2014
246,1991
247,2007
248,1900
249,2021
250,1976
251,2002
252,1979
253,1989
254,1994
255,1996
256,1989
257,2005
258,2015
259,1994
260,1974
261,1948
262,1976
263,
264,
265,2008
266,1983
267,1981
268,2005
269,
270,1992
271,
272,2001
273,2003
274,1969
275,1984
276,1990
277,
278,2013
279,1988
280,2001
281,
282,1990
283,1991
284,2009
285,1979
286,1987
287,2004
288,2002
289,2012
290,2010
291,2000
292,1989
293,2006
294,1987
295,2013
296,2003
297,1999
298,
299,2005
300,2009
301,2005
302,1990
303,1997
304,1913
305,1994
306,1994
307,1993
308,1992
309,1952
310,1975
311,1999
312,1972
313,
314,1997
315,
316,2006
317,2007
318,1996
319,1998
320,2011
