college,avg_citations
Western University,35541.42857142857
Univ. of California - Berkeley,33783.0495049505
Max Planck Society,33248.41025641026
Stanford University,31096.650793650795
California Institute of Technology,30275.4
Massachusetts Institute of Technology,27843.65306122449
Columbia University,26884.51785714286
Princeton University,25568.5
Univ. of California - Los Angeles,25108.024390243903
University of Montreal,25079.075
Weizmann Institute of Science,24700.916666666668
University of Freiburg,24276.0625
Westlake University,23408.666666666668
Harvard University,22430.8125
Johns Hopkins University,21812.3125
ETH Zurich,21526.756097560974
University of Waikato,21214.40740740741
NYU Shanghai,21052.0
University of Rochester,20361.526315789473
Cornell University,18431.025974025975
Univ. of California - San Diego,18408.8487394958
University of Kansas,17759.5
Carnegie Mellon University,17620.455621301775
University of Minnesota,17573.6
University of Pennsylvania,17352.344262295082
HKUST,17217.64150943396
EPFL,17145.114754098362
Georgetown University,16728.29411764706
Università della Svizzera italiana,16650.5
The Hong Kong Polytechnic University,16308.470588235294
TTI Chicago,16185.692307692309
University of Texas at Austin,16103.92
Michigan State University,15730.20588235294
Ecole Normale Superieure,15486.24
University of Southern California,15436.102040816326
LMU Munich,14961.652173913044
KAUST,14563.047619047618
Nanyang Technological University,14360.625
Univ. of Illinois at Urbana-Champaign,14284.730434782608
Pennsylvania State University,14035.82456140351
University of Manitoba,13933.95
Queen’s University,13657.59090909091
University of Edinburgh,13538.30693069307
University of Washington,13526.706666666667
University College London,13321.54430379747
University of Alberta,13296.565217391304
University of Chicago,13138.926829268292
University of Leipzig,13052.0
New York University,13030.058823529413
University of Notre Dame,12781.677419354839
University of Maryland - College Park,12683.58762886598
Hasso Plattner Institute,12627.846153846154
Northeastern University,12546.975903614459
Duke University,12410.692307692309
University of Amsterdam,12242.875
Brown University,12214.441176470587
University of Bremen,12212.625
Univ. of California - Irvine,12177.89705882353
NWPU,12045.857142857143
University of Texas at Arlington,11911.709677419354
Univ. of California - Merced,11903.722222222223
Yale University,11866.625
Washington University in St. Louis,11769.310344827587
Univ. of California - Santa Barbara,11603.794871794871
University of Mannheim,11595.875
TU Munich,11548.06
TU Berlin,11493.57142857143
National Taiwan University,11428.777777777777
University of Oxford,11372.68115942029
University of Toronto,11351.559139784946
RWTH Aachen,11248.392857142857
Chinese University of Hong Kong,11226.02380952381
Rice University,11178.709677419354
MBZUAI,11112.95
Hebrew University of Jerusalem,10929.891304347826
Imperial College London,10897.140625
Georgia Institute of Technology,10811.490384615385
Victoria University of Wellington,10718.027027027027
University of North Carolina,10592.225
University of Tennessee,10477.175
York University,10359.645161290322
Univ. of California - Davis,10292.931818181818
University of Sydney,10292.93023255814
Karlsruhe Institute of Technology,10134.233333333334
University of Cambridge,10133.285714285714
USTC,10104.863636363636
Purdue University,10071.74647887324
University of Arizona,10040.5
University of Tübingen,10032.542857142857
University of Michigan,9943.978723404256
University of South Florida,9898.42857142857
HSE University,9850.625
Univ. of Maryland - Baltimore County,9835.555555555555
Rensselaer Polytechnic Institute,9795.1
University of Bern,9764.25
Tel Aviv University,9757.85
University of Wisconsin - Madison,9757.666666666666
Simon Fraser University,9757.229166666666
University of Adelaide,9754.4
CWI,9724.451612903225
University of Stuttgart,9719.535714285714
Temple University,9716.809523809523
KAIST,9650.494736842105
Brno University of Technology,9558.8
University of Kent,9558.279069767443
University of Hildesheim,9501.333333333334
University of Luxembourg,9411.307692307691
University of Manchester,9395.263157894737
Bar-Ilan University,9338.0
Vanderbilt University,9186.25
University of Illinois at Chicago,9115.673469387755
University of Melbourne,9112.415384615384
Arizona State University,9104.81081081081
Stony Brook University,9049.305084745763
IIT Guwahati,8993.260869565218
University of Konstanz,8974.0
Tsinghua University,8948.673684210526
TU Darmstadt,8939.74074074074
Czech Technical University,8937.148148148148
University of Oklahoma,8909.75
Ecole Normale Superieure de Cachan,8813.555555555555
Goethe University Frankfurt,8778.1875
University of Hong Kong,8751.0
Technion,8638.158536585366
JKU Linz,8608.689655172413
University of Virginia,8584.432432432432
University of British Columbia,8582.677966101695
University of Vienna,8507.0
University of Southern Mississippi,8500.0
Missouri University of Technology,8487.9
University of Surrey,8476.962962962964
University of Massachusetts Amherst,8463.666666666666
Lund University,8398.90909090909
Dartmouth College,8384.173913043478
Univ. of California - Riverside,8370.209302325582
University of Utah,8324.671875
Sun Yat-sen University,8319.266666666666
Ohio State University,8290.75
Boston University,8280.238095238095
NJIT,8250.241379310344
Emory University,8190.684210526316
Graz University of Technology,8166.450980392156
Carleton University,8163.333333333333
Rutgers University,8089.709090909091
University of Zurich,8081.333333333333
National University of Singapore,8069.450704225352
VU Amsterdam,8038.3
McGill University,7871.071428571428
University of Trento,7854.5641025641025
University of Otago,7846.692307692308
Indiana University,7836.948453608247
University of Marburg,7765.166666666667
Queen Mary University of London,7748.742857142857
Texas A&M at Qatar,7729.416666666667
University of Helsinki,7687.3448275862065
Bilkent University,7674.555555555556
University of Queensland,7671.68085106383
University of Texas at Dallas,7557.571428571428
University at Buffalo,7547.5
University of Missouri,7537.818181818182
Bielefeld University,7534.222222222223
TU Dresden,7481.625
Colorado School of Mines,7458.0
Scuola Superiore Sant'Anna,7419.6
Shanghai Jiao Tong University,7387.7764705882355
University of Waterloo,7374.7441860465115
Hong Kong Baptist University,7347.266666666666
University of Bonn,7336.2
Wuhan University,7280.333333333333
Colorado State University,7249.235294117647
Northwestern University,7210.477272727273
Oregon State University,7181.978723404255
Saarland University,7179.4375
University of Central Florida,7149.862068965517
North Carolina State University,7127.34
Soochow University,7115.428571428572
University of Massachusetts Boston,7111.461538461538
EURECOM,7084.615384615385
Univ. of California - Santa Cruz,7020.28813559322
University of Connecticut,6982.275862068966
University of Innsbruck,6977.071428571428
UCCS,6965.785714285715
Chinese Academy of Sciences,6960.463768115942
