,Name,affiliation,homepage,scholar-id,citations,h-index
50,Nianwen Xue,Brandeis University,http://www.cs.brandeis.edu/~xuen,KlVbOkMAAAAJ,8744.0,42.0
51,Pengyu Hong,Brandeis University,http://www.cs.brandeis.edu/~hong,pvDa8pcAAAAJ,3219.0,26.0
52,Jordan Pollack,Brandeis University,http://www.cs.brandeis.edu/~pollack,,,
53,Liuba Shrira,Brandeis University,http://www.cs.brandeis.edu/~liuba,tyUShkAAAAAJ,4555.0,26.0
54,Mitch Cherniack,Brandeis University,http://www.cs.brandeis.edu/~mfc,,,
55,Antonella Di Lillo,Brandeis University,http://www.brandeis.edu/facultyguide/person.html?emplid=4b4fcfe64c1c153c08a131c97077c1726072e6c9,,,
56,Harry G. Mairson,Brandeis University,http://www.cs.brandeis.edu/~mairson,,,
57,Olga Papaemmanouil,Brandeis University,http://www.cs.brandeis.edu/~olga/home.html,JaAonb0AAAAJ,2101.0,21.0
58,Oliver Hohlfeld,Brandenburg University of Technology,http://www.ohohlfeld.com,2dy3cC4AAAAJ,2516.0,22.0
59,Michael Hübner,Brandenburg University of Technology,https://www.b-tu.de/en/fg-technische-informatik/team/professor,Z4fIgdUAAAAJ,5698.0,34.0
60,Andriy Panchenko,Brandenburg University of Technology,https://www.b-tu.de/en/it-security,,,
61,Douglas W. Cunningham,Brandenburg University of Technology,https://www.b-tu.de/fg-graphische-systeme/team/professor,Lo4fRbwAAAAJ,2590.0,28.0
62,Gerd Wagner,Brandenburg University of Technology,https://www.b-tu.de/fg-internet-technologie/team/professor,zna3SeQAAAAJ,6499.0,44.0
63,Klaus Meer,Brandenburg University of Technology,https://www.b-tu.de/fg-theoretische-informatik/team/lehrstuhlinhaber,,,
64,Ingo Schmitt,Brandenburg University of Technology,https://www.b-tu.de/fg-dbis/team/professor,,,
65,Peter Langendörfer,Brandenburg University of Technology,https://www.b-tu.de/fg-sicherheit-in-pervasiven-systemen/team/professor,giUyxgYAAAAJ,1920.0,20.0
66,Jörg Nolte,Brandenburg University of Technology,https://www.b-tu.de/en/distributed-systems-operating-systems-group/team/professor,,,
67,Claus Lewerentz,Brandenburg University of Technology,https://www.b-tu.de/fg-software-systemtechnik/team/professor,fANb-HAAAAAJ,2875.0,24.0
68,Rolf Kraemer,Brandenburg University of Technology,https://www.b-tu.de/fg-systeme/team/professor,-rT-Qp0AAAAJ,2187.0,25.0
69,Monika Heiner,Brandenburg University of Technology,https://www-dssz.informatik.tu-cottbus.de/DSSZ/Main/MonikaHeiner,esKBj4UAAAAJ,4969.0,37.0
70,Petra Hofstedt,Brandenburg University of Technology,https://www.b-tu.de/fg-programmiersprachen-compilerbau/team/professorin/petra-hofstedt,,,
71,Thomas W. Sederberg,Brigham Young University,https://cs.byu.edu/faculty/tom,mveYvw8AAAAJ,16494.0,50.0
72,Kenneth J. Rodham,Brigham Young University,https://cs.byu.edu/faculty/rodham,,,
73,Cory Barker,Brigham Young University,https://cs.byu.edu/faculty/barker,iZfqmbMAAAAJ,82.0,4.0
74,Sean C. Warnick,Brigham Young University,https://cs.byu.edu/faculty/sean,k7WBrxoAAAAJ,1497.0,19.0
75,Kent E. Seamons,Brigham Young University,https://cs.byu.edu/faculty/seamons,XY4ky-YAAAAJ,6804.0,39.0
76,David Wingate,Brigham Young University,https://cs.byu.edu/faculty/dw87,W9uPOIQAAAAJ,8425.0,46.0
77,Jacob W. Crandall,Brigham Young University,http://www.jacobcrandall.net,FHGBC58AAAAJ,3204.0,28.0
78,Paul R. Roper,Brigham Young University,https://cs.byu.edu/faculty/proper,44RdgPcAAAAJ,71.0,1.0
79,Kevin D. Seppi,Brigham Young University,https://cs.byu.edu/faculty/kseppi,xLQan5cAAAAJ,3240.0,32.0
80,Michael D. Jones,Brigham Young University,https://cs.byu.edu/faculty/jones,OLUt0kgAAAAJ,9763.0,22.0
81,Christopher Archibald,Brigham Young University,https://cs.byu.edu/faculty/ca65,tH8pducAAAAJ,213.0,8.0
82,Daniel Zappala,Brigham Young University,https://cs.byu.edu/faculty/zappala,Q9DsCL4AAAAJ,5284.0,27.0
83,Christophe G. Giraud-Carrier,Brigham Young University,https://cs.byu.edu/faculty/cgc,i17LzmoAAAAJ,7083.0,37.0
84,Robert P. Burton,Brigham Young University,https://cs.byu.edu/faculty/rpburton,0NKgxEEAAAAJ,7240.0,33.0
85,J. Kelly Flanagan,Brigham Young University,https://cs.byu.edu/faculty/flanaganjkelly,,,
86,Seth Holladay,Brigham Young University,https://cs.byu.edu/faculty/srh43,FLK47OIAAAAJ,14.0,2.0
87,Brent Adams,Brigham Young University,https://animation.byu.edu/content/faculty,,,
88,Parris K. Egbert,Brigham Young University,https://cs.byu.edu/faculty/egbert,7oD2ZL8AAAAJ,1093.0,18.0
89,Ryan Farrell,Brigham Young University,https://faculty.cs.byu.edu/~farrell,56EZh6YAAAAJ,1904.0,14.0
90,Bill Barrett,Brigham Young University,https://cs.byu.edu/faculty/barrett,yLWfq68AAAAJ,5899.0,29.0
91,Scott N. Woodfield,Brigham Young University,https://cs.byu.edu/faculty/woodfiel,,,
92,Mark J. Clement,Brigham Young University,https://faculty.cs.byu.edu/~clement,8sFevmEAAAAJ,13443.0,24.0
93,Bryan S. Morse,Brigham Young University,http://morse.cs.byu.edu,COQLAncAAAAJ,4491.0,30.0
94,Eric K. Ringger,Brigham Young University,https://faculty.cs.byu.edu/~ringger,XkkU-hwAAAAJ,3966.0,30.0
95,Yiu-Kai Dennis Ng,Brigham Young University,https://faculty.cs.byu.edu/~ng/ng.html,HhIElBEAAAAJ,3140.0,23.0
96,Michael A. Goodrich,Brigham Young University,https://faculty.cs.byu.edu/~mike,7LTGov4AAAAJ,11793.0,47.0
97,Dan Ventura,Brigham Young University,http://axon.cs.byu.edu/Dan,iSsKAqQAAAAJ,3597.0,30.0
98,Tony R. Martinez,Brigham Young University,http://axon.cs.byu.edu/~martinez,R1JyT9AAAAAJ,8379.0,36.0
99,Eric G. Mercer,Brigham Young University,https://cs.byu.edu/faculty/egm,FbUhdYYAAAAJ,3487.0,8.0
100,Quinn O. Snell,Brigham Young University,https://faculty.cs.byu.edu/~snell,,,
101,Tomás Vojnar,Brno University of Technology,https://www.fit.vut.cz/person/vojnar,YbSGwKwAAAAJ,3089.0,31.0
102,Adam Herout,Brno University of Technology,https://www.fit.vut.cz/person/herout,qQDbJDMAAAAJ,2359.0,25.0
103,Honza Cernocký,Brno University of Technology,https://www.fit.vut.cz/person/cernocky,BnfCLXcAAAAJ,15630.0,43.0
104,Martin Drahanský,Brno University of Technology,https://www.fit.vut.cz/person/drahan,,,
105,Lukás Holík,Brno University of Technology,https://www.fit.vut.cz/person/holik,0cPbvY0AAAAJ,1406.0,19.0
106,Lukás Sekanina,Brno University of Technology,https://www.fit.vut.cz/person/sekanina,,,
