,Name,University,id
76,Peter K. Allen,Columbia University,BDxQ5soAAAAJ
77,Gil Zussman,Columbia University,E5k6m4AAAAJ
78,Salvatore J. Stolfo,Columbia University,DknsgF8AAAAJ
79,Rocco A. Servedio,Columbia University,vZrIrN4AAAAJ
80,Shree K. Nayar,Columbia University,Yj7KQmQAAAAJ
81,Tien D. Bui,Concordia University,1609q00AAAAJ
82,Abe Davis,Cornell University,Gp8ghkAAAAJ
83,Kilian Q. Weinberger,Cornell University,jsxk8vsAAAAJ
84,Haym Hirsh,Cornell University,lB6jgT4AAAAJ
85,Jirí Vokrínek,Czech Technical University,#NAME?
86,Miroslav Kulich,Czech Technical University,68vFe80AAAAJ
87,Jiri Bittner,Czech Technical University,AAli7u8AAAAJ
88,Jan Faigl,Czech Technical University,#NAME?
89,Prasenjit Majumder,DAIICT,Cf-XE08AAAAJ
90,Sourish Dasgupta,DAIICT,dK0_8CcAAAAJ
91,Jaideep Mulherkar,DAIICT,J2aDvokAAAAJ
92,Meng He,Dalhousie University,BeBfIoAAAAAJ
93,Israat Haque,Dalhousie University,ZBhZBwoAAAAJ
94,Carolyn R. Watters,Dalhousie University,ACAErxoAAAAJ
95,Israat Tanzeena Haque,Dalhousie University,ZBhZBwoAAAAJ
96,Bo Zhu,Dartmouth College,LM_HjvIAAAAJ
97,David F. Kotz,Dartmouth College,w_Q7iBoAAAAJ
98,Christine Diane Lim,De La Salle University,PuwcdNoAAAAJ
99,Nelson Marcos,De La Salle University,#NAME?
100,Lisa Wu,Duke University,bAhJeo0AAAAJ
101,Michael K. Reiter,Duke University,qAKfQW0AAAAJ
102,Lawrence Carin,Duke University,2nmHOtoAAAAJ
103,Bhuwan Dhingra,Duke University,2W2ttrQAAAAJ
104,Pierre Dillenbourg,EPFL,1m1CqEEAAAAJ
105,Giovanni De Micheli,EPFL,7SUnVDsAAAAJ
106,Pascal Frossard,EPFL,#NAME?
107,Wulfram Gerstner,EPFL,dqBH37QAAAAJ
108,Boi Faltings,EPFL,X21nbgcAAAAJ
109,Fisher Yu,ETH Zurich,#NAME?
110,Stelian Coros,ETH Zurich,DFQNrvUAAAAJ
111,Matthew Toews,ETS Montreal,EJaVEJIAAAAJ
112,Duong Hieu Phan,Ecole Normale Superieure,8n2aNu8AAAAJ
113,Francois Berenger,Ecole Normale Superieure,YnLcI2gAAAAJ
114,Laurent Lefèvre,Ecole Normale Superieure de Lyon,c7L9_mcAAAAJ
115,Olivier Laurent,Ecole Normale Superieure de Lyon,UXrN6aUAAAAJ
116,Vinicius Menezes de Oliveira,Federal University of Rio Grande,NQfy0ioAAAAJ
117,Taghi M. Khoshgoftaar,Florida Atlantic University,#NAME?
118,Heather Anne Crawford,Florida Institute of Technology,_jZd3F4AAAAJ
119,Leonardo Bobadilla,Florida International University,#NAME?
120,Mo Sha,Florida International University,RIfUf0IAAAAJ
121,Deng Pan,Florida International University,o0lXy-UAAAAJ
122,Raju Rangaswami,Florida International University,#NAME?
123,Mike Burmester,Florida State University,GwirM_8AAAAJ
124,Alan Kuhnle,Florida State University,#NAME?
125,Rudolf Fleischer,Fudan University,rNGxPRgAAAAJ
126,Zhipeng Xie,Fudan University,#NAME?
127,Elizabeth L. White,George Mason University,p1OyJIAAAAAJ
128,Brittany Johnson,George Mason University,H91EcrsAAAAJ
129,Adam J. Aviv,George Washington University,ExgxufEAAAAJ
130,Hongyuan Zha,Georgia Institute of Technology,tqEWl8gAAAAJ
