,Name,affiliation,homepage,scholar-id,citations,h-index
0,P. Vassalos,AUEB,http://pubs.dbs.uni-leipzig.de/aa/aff/Greece/Athens/Athens%20University%20of%20Economics%20and%20Business,gnOgiQEAAAAJ,204.0,9.0
1,Stavros Toumpis,AUEB,https://195.251.255.130/en/faculty/toumpis-stavros,LyiVPKEAAAAJ,2804.0,21.0
2,Ion Androutsopoulos,AUEB,http://www.aueb.gr/users/ion,4UJm5EQAAAAJ,11918.0,42.0
3,Michalis K. Titsias,AUEB,http://www.aueb.gr/users/mtitsias,B-SbkAwAAAAJ,5255.0,30.0
4,Vasilios A. Siris,AUEB,http://www.aueb.gr/users/vsiris,Vj3O0cEAAAAJ,5967.0,31.0
5,E. J. Yannakoudakis,AUEB,http://www.aueb.gr/Users/yannakoudakis/english,37tD5JsAAAAJ,738.0,14.0
6,Eugénie Foustoucos,AUEB,https://uregister-ldap.aueb.gr/en/content/applied-mathematics-informatics-finance-and-operational-research-sector,5mes4FYAAAAJ,38.0,4.0
7,Vasilis Vassalos,AUEB,https://www.aueb.gr/en/faculty_page/vassalos-vasilios,oaM-d7QAAAAJ,3723.0,25.0
8,Diomidis D. Spinellis,AUEB,https://www.dmst.aueb.gr/dds,RjXNgA8AAAAJ,11833.0,53.0
9,Antonis Dimakis,AUEB,http://nes.aueb.gr/dimakis.html,DlAhQuIAAAAJ,491.0,8.0
10,Evangelos Markakis,AUEB,http://pages.cs.aueb.gr/~markakis,VDyjbagAAAAJ,4159.0,32.0
11,Panos Constantopoulos,AUEB,https://uregister-ldap.aueb.gr/en/faculty/constantopoulos-panos,EAagfCoAAAAJ,2134.0,28.0
12,Georgios Papaioannou,AUEB,http://www.aueb.gr/users/gepap,8YSbfqcAAAAJ,3092.0,30.0
13,Nicos Malevris,AUEB,http://www.cs.aueb.gr/en/content/malevris-nikolaos,PJ748-EAAAAJ,1434.0,21.0
14,Yannis Kotidis,AUEB,http://www.db-net.aueb.gr/kotidis,ykqoK38AAAAJ,6208.0,34.0
15,Ioannis Milis,AUEB,https://uregister-ldap.aueb.gr/en/faculty/milis-ioannis,CS8EIi0AAAAJ,816.0,13.0
16,Emmanouel A. Giakoumakis,AUEB,https://www-1.aueb.gr/en/content/new-rector-athens-university-economics-and-business,X3EmbHYAAAAJ,554.0,11.0
17,Theodore K. Apostolopoulos,AUEB,http://ieeexplore.ieee.org/document/4114886,WTg8mXoAAAAJ,1091.0,16.0
18,Michalis Vazirgiannis,AUEB,http://www.db-net.aueb.gr/michalis,aWGJYcMAAAAJ,18477.0,54.0
19,T. Z. Kalamboukis,AUEB,https://uregister-ldap.aueb.gr/en/faculty/kalamboukis-theodore,,,
20,Iordanis Koutsopoulos,AUEB,http://www.cs.aueb.gr/~jordan,Bq_GqyIAAAAJ,5338.0,32.0
21,Vana Kalogeraki,AUEB,http://www2.cs.aueb.gr/~vana,2lpWTDYAAAAJ,7739.0,38.0
22,George C. Polyzos,AUEB,http://niovi.aueb.gr/~gcp,y-Mxxa0AAAAJ,11622.0,46.0
23,Giannis F. Marias,AUEB,http://www.scirp.org/journal/DetailedInforOfEditorialBoard.aspx?personID=953,EO_hUg4AAAAJ,1218.0,21.0
24,Ioannis Kontoyiannis,AUEB,http://pages.cs.aueb.gr/~yiannisk,K7lsKjcAAAAJ,3095.0,29.0
25,George D. Stamoulis,AUEB,http://nes.aueb.gr/users/gs.html,5uRFCLsAAAAJ,1685.0,19.0
26,George Xylomenos,AUEB,http://pages.cs.aueb.gr/~xgeorge,f7tP8gcAAAAJ,4807.0,24.0
27,P. Katerinis,AUEB,http://www.aueb.gr/pages_en/graduate/masters.php,,,
28,Dimitris Gritzalis,AUEB,https://www-1.aueb.gr/en/faculty/gritzalis-dimitrios,5hIalXgAAAAJ,16310.0,57.0
29,Manfred Jaeger,Aalborg University,http://people.cs.aau.dk/~jaeger,1E085gUAAAAJ,1923.0,23.0
30,Henning Pohl,Aalborg University,https://henningpohl.net,ftOTeNkAAAAJ,823.0,14.0
31,René Rydhof Hansen,Aalborg University,http://people.cs.aau.dk/~rrh,MGLEvwkAAAAJ,1942.0,21.0
32,Peter Axel Nielsen,Aalborg University,http://people.cs.aau.dk/~pan,l2VkFywAAAAJ,5287.0,25.0
33,Kim G. Larsen,Aalborg University,http://www.cs.aau.dk/~kgl,neDFD60AAAAJ,31128.0,84.0
34,Peter Dolog,Aalborg University,https://peterdolog.wordpress.com,gCafUI0AAAAJ,4113.0,32.0
35,Bent Thomsen,Aalborg University,http://people.cs.aau.dk/~bt,mhyMmZoAAAAJ,2448.0,23.0
36,Jeni Paay,Aalborg University,http://people.cs.aau.dk/~jeni/jeni_homepage/home.html,-4miticAAAAJ,1698.0,24.0
37,Hans Hüttel,Aalborg University,http://people.cs.aau.dk/~hans/index-eng.html,Wf7-agQAAAAJ,1491.0,19.0
38,Radu Mardare,Aalborg University,http://people.cs.aau.dk/~mardare,6svgjm8AAAAJ,823.0,15.0
39,Arne Skou,Aalborg University,http://people.cs.aau.dk/~ask,qIjjvXwAAAAJ,4004.0,22.0
40,Ivan Aaen,Aalborg University,http://people.cs.aau.dk/~ivan,-8-9oRgAAAAJ,967.0,13.0
41,Torben Bach Pedersen,Aalborg University,http://people.cs.aau.dk/~tbp,XGzPuKEAAAAJ,7780.0,49.0
42,Jirí Srba,Aalborg University,http://people.cs.aau.dk/~srba,PYmuJQoAAAAJ,2828.0,30.0
43,Kurt Nørmark,Aalborg University,http://people.cs.aau.dk/~normark,5L7St-cAAAAJ,489.0,12.0
44,Nicolai Brodersen Hansen,Aalborg University,https://vbn.aau.dk/da/persons/148582,7Uy9-ToAAAAJ,785.0,11.0
45,Simonas Saltenis,Aalborg University,http://people.cs.aau.dk/~simas,K0l79_wAAAAJ,3967.0,24.0
46,Brian Nielsen,Aalborg University,http://people.cs.aau.dk/~bnielsen,iAgWGgwAAAAJ,2117.0,24.0
47,Jan Stage,Aalborg University,http://people.cs.aau.dk/~jans,6fgR7XcAAAAJ,4026.0,30.0
48,Florian Echtler,Aalborg University,https://floe.butterbrot.org,sZssYagAAAAJ,2349.0,23.0
49,Hua Lu,Aalborg University,http://people.cs.aau.dk/~luhua,h1mExmcAAAAJ,4537.0,36.0
50,Niels van Berkel,Aalborg University,http://www.nielsvanberkel.com,0VfMvLsAAAAJ,1487.0,21.0
51,Jesper Kjeldskov,Aalborg University,http://people.cs.aau.dk/~jesper,pD3nfeAAAAAJ,5910.0,38.0
52,Gabriela Montoya,Aalborg University,https://vbn.aau.dk/en/persons/gabriela-valentina-montoya-castillo,qXfMXnYAAAAJ,360.0,10.0
53,Kristian G. Olesen,Aalborg University,http://people.cs.aau.dk/~kgo/cv.html,qrPdfAcAAAAJ,3518.0,20.0
54,Thomas D. Nielsen,Aalborg University,http://people.cs.aau.dk/~tdn,6fWF0CgAAAAJ,8874.0,24.0
55,Katja Hose,Aalborg University,http://people.cs.aau.dk/~khose,LbXvZUoAAAAJ,3584.0,24.0
56,Johannes Bjerva,Aalborg University,https://bjerva.github.io/index.html,F9zlUBcAAAAJ,1015.0,16.0
57,John Stouby Persson,Aalborg University,http://people.cs.aau.dk/~john,2uofkmkAAAAJ,895.0,15.0
58,Lone Leth,Aalborg University,http://people.cs.aau.dk/~lone,vyYcihcAAAAJ,649.0,15.0
59,Uffe Kjærulff,Aalborg University,http://personprofil.aau.dk/102267?lang=en,,,
60,Giorgio Bacci,Aalborg University,http://people.cs.aau.dk/~grbacci,y2Q3kK8AAAAJ,358.0,12.0
61,Tim Merritt,Aalborg University,http://www.ixd.net,RBhmAmkAAAAJ,1021.0,17.0
62,Josva Kleist,Aalborg University,http://personprofil.aau.dk/104832?lang=en,,,
63,Bin Yang,Aalborg University,http://people.cs.aau.dk/~byang,qjBQhoUAAAAJ,3673.0,39.0
64,Daniel Russo,Aalborg University,https://danielrusso.org,BQ6QbwkAAAAJ,558.0,15.0
65,Mikael B. Skov,Aalborg University,http://people.cs.aau.dk/~dubois,sivdLnwAAAAJ,3884.0,32.0
66,Kristian Torp,Aalborg University,http://people.cs.aau.dk/~torp,EusRZN0AAAAJ,963.0,15.0
67,Anders Bruun,Aalborg University,http://personprofil.aau.dk/120220,X32A-C4AAAAJ,664.0,14.0
68,Chenjuan Guo,Aalborg University,http://people.cs.aau.dk/~cguo,WMXNm88AAAAJ,1645.0,21.0
69,Christian Thomsen,Aalborg University,http://personprofil.aau.dk/111293?lang=en,Y7i1yN4AAAAJ,993.0,18.0
70,Ulrik Larsen,Aalborg University,http://ulrik.blog.aau.dk,Z3FXuI0AAAAJ,1447.0,18.0
71,Christian S. Jensen,Aalborg University,http://people.cs.aau.dk/~csj,wo20cPYAAAAJ,34272.0,92.0
72,Mario Di Francesco,Aalto University,https://users.aalto.fi/~difram1,xuJ3KAYAAAAJ,7480.0,30.0
73,Mikko Kivelä,Aalto University,https://people.aalto.fi/new/mikko.kivela,Z3913I0AAAAJ,7068.0,19.0
74,Parinya Chalermsook,Aalto University,https://people.aalto.fi/new/parinya.chalermsook,Cw6NQasAAAAJ,781.0,15.0
75,Andrés A. Lucero,Aalto University,http://funkydesignspaces.com,YdNEAwoAAAAJ,3962.0,34.0
76,Harri Lähdesmäki,Aalto University,https://users.ics.aalto.fi/harrila,,,
77,Jukka Suomela,Aalto University,https://jukkasuomela.fi,hTZOWl8AAAAJ,2451.0,26.0
78,Marjo Kauppinen,Aalto University,https://people.aalto.fi/new/marjo.kauppinen,Wo8x6EUAAAAJ,1801.0,19.0
79,Samuel Kaski,Aalto University,https://users.ics.aalto.fi/sami,,,
80,Eero Hyvönen,Aalto University,https://seco.cs.aalto.fi/u/eahyvone,FqbJBcsAAAAJ,6637.0,39.0
81,Kari Smolander,Aalto University,https://people.aalto.fi/new/kari.smolander,f1w2dAwAAAAJ,5601.0,36.0
82,Alex Jung,Aalto University,https://users.aalto.fi/~junga1,mHjdZdwAAAAJ,1072.0,16.0
83,Tapio Lokki,Aalto University,https://users.aalto.fi/~ktlokki,vz4vC1cAAAAJ,5490.0,37.0
84,Casper Lassenius,Aalto University,https://people.aalto.fi/casper_lassenius,rQHJ67UAAAAJ,6606.0,45.0
85,Tuomas Aura,Aalto University,https://people.aalto.fi/new/tuomas.aura,izj4P5gAAAAJ,6062.0,39.0
86,Jara Uitto,Aalto University,https://users.aalto.fi/~uittoj3,yzmXt14AAAAJ,783.0,16.0
87,Marko H. T. Nieminen,Aalto University,https://users.aalto.fi/~mhtn/home,ouIgYzsAAAAJ,3668.0,25.0
88,Antti Salovaara,Aalto University,https://people.aalto.fi/antti.salovaara,SFkQ65sAAAAJ,2372.0,25.0
89,Eljas Soisalon-Soininen,Aalto University,https://people.aalto.fi/new/eljas.soisalon-soininen,,,
90,Kimmo K. Kaski,Aalto University,https://people.aalto.fi/kimmo_kaski,Cpay6fYAAAAJ,22033.0,71.0
91,Arno Solin,Aalto University,https://people.aalto.fi/arno.solin,U_fJCnAAAAAJ,2591.0,25.0
92,Jari Saramäki,Aalto University,https://people.aalto.fi/new/jari.saramaki,KA6xtQ0AAAAJ,14750.0,49.0
93,Juho Rousu,Aalto University,https://people.aalto.fi/juho_rousu,JYN5cL4AAAAJ,4282.0,31.0
94,Janne Lindqvist,Aalto University,https://www.lindqvistlab.org,rOW28UoAAAAJ,3059.0,25.0
95,Heikki Mannila,Aalto University,https://users.ics.aalto.fi/mannila,,,
96,Petri Vuorimaa,Aalto University,https://people.aalto.fi/petri_vuorimaa,Bcg93pAAAAAJ,1290.0,19.0
97,Vikas K. Garg,Aalto University,https://research.aalto.fi/en/persons/vikas-garg,JFT_m9kAAAAJ,770.0,13.0
98,Perttu Hämäläinen,Aalto University,https://mediatech.aalto.fi/~phamalainen,i90uqXUAAAAJ,2178.0,24.0
99,Antti Ylä-Jääski,Aalto University,http://cse.aalto.fi/en/personnel/antti-yla-jaaski,ojkArgn5IlAC,3832.0,32.0
100,Hong Linh Truong,Aalto University,https://research.aalto.fi/en/persons/linh-truong,juCwRycAAAAJ,6402.0,40.0
101,Antti Oulasvirta,Aalto University,http://users.comnet.aalto.fi/oulasvir,_z41TLwAAAAJ,14284.0,62.0
102,Lauri Malmi,Aalto University,http://www.cs.hut.fi/~lma,uKJ_WV4AAAAJ,5798.0,33.0
103,Martti Mäntylä,Aalto University,https://people.aalto.fi/martti_mantyla,,,
104,Petteri Kaski,Aalto University,https://users.ics.aalto.fi/pkaski,HuV9_EkAAAAJ,3957.0,30.0
105,Virpi Roto,Aalto University,http://www.allaboutux.org/virpiroto,KntdFBMAAAAJ,8026.0,36.0
106,Ilkka Niemelä,Aalto University,http://users.ics.aalto.fi/~ini,,,
107,Jouko Lampinen,Aalto University,https://people.aalto.fi/new/jouko.lampinen,Hk0Q8TkAAAAJ,3835.0,27.0
108,Maarit J. Käpylä,Aalto University,https://research.aalto.fi/en/persons/maarit-k%C3%A4pyl%C3%A4,O8p_qKwAAAAJ,3710.0,35.0
109,Pekka Marttinen,Aalto University,https://research.aalto.fi/en/persons/pekka-marttinen,,,
110,Juho Kannala,Aalto University,https://users.aalto.fi/~kannalj1,c4mWQPQAAAAJ,7797.0,36.0
111,Jaakko Lehtinen,Aalto University,https://mediatech.aalto.fi/~jaakko,Vpr6s3sAAAAJ,12365.0,37.0
112,Alexandru Paler,Aalto University,https://research.aalto.fi/en/persons/alexandru-paler,WmghO7UAAAAJ,1154.0,16.0
113,Pekka Orponen,Aalto University,https://users.ics.aalto.fi/orponen,vxczc7gAAAAJ,2925.0,27.0
114,Aki Vehtari,Aalto University,https://users.aalto.fi/~ave,tYgN0GsAAAAJ,48871.0,50.0
115,Chris Brzuska,Aalto University,http://chrisbrzuska.de,an-NQV4AAAAJ,1377.0,21.0
116,Sampsa Hyysalo,Aalto University,https://inuse.fi/people/sampsa-hyysalo,Uzl_pPYAAAAJ,5559.0,35.0
117,Elisa D. Mekler,Aalto University,https://www.aalto.fi/en/people/elisa-mekler,9j30OywAAAAJ,3008.0,22.0
118,Lauri Savioja,Aalto University,https://mediatech.aalto.fi/~las,wTfO6z0AAAAJ,5528.0,37.0
119,Stéphane Deny,Aalto University,https://research.aalto.fi/en/persons/stephane-deny,Z3jU6mQAAAAJ,899.0,11.0
120,Rohit Babbar,Aalto University,https://research.aalto.fi/en/persons/rohit-babbar,QsqvuGsAAAAJ,660.0,12.0
121,Jussi Rintanen,Aalto University,https://research.aalto.fi/en/persons/jussi-rintanen,wZJS52UAAAAJ,3520.0,34.0
