,name,affiliation,homepage,scholar_id,citations,h-index
51,Edmund H. Durfee,University of Michigan,http://ai.eecs.umich.edu/people/durfee,NOSCHOLARPAGE,,
52,John E. Laird,University of Michigan,http://ai.eecs.umich.edu/people/laird,ea6cjVUAAAAJ,19871.0,58.0
53,Yong Suk Choi,Hanyang University,http://ai.hanyang.ac.kr/member,NOSCHOLARPAGE,,
54,Dongsuk Yook,Korea University,http://ai.korea.ac.kr/index.php/professor,NOSCHOLARPAGE,,
55,Sebastian Stober,University of Magdeburg,http://ai.ovgu.de,OPyztE0AAAAJ,1369.0,19.0
56,Wen-Xin Li,Peking University,http://ai.pku.edu.cn/people/liwenxin.html,NOSCHOLARPAGE,,
57,Zihe Wang 0001,Renmin University of China,http://ai.ruc.edu.cn/academicfaculty/898f1ad173bf48eabc5c94d1b615938b.htm,SL1QGDoAAAAJ,160.0,7.0
58,Bing Su 0001,Renmin University of China,http://ai.ruc.edu.cn/academicfaculty/fea218174a6e493a99cfcebdc7dfe6c4.htm,d3g2VJQAAAAJ,331.0,11.0
59,Ruihua Song,Renmin University of China,http://ai.ruc.edu.cn/faculty/rsong,v5LctN8AAAAJ,4327.0,31.0
60,Chelsea Finn,Stanford University,http://ai.stanford.edu/~cbfinn,vfPE6hgAAAAJ,22311.0,52.0
61,Hyun Oh Song,Seoul National University,http://ai.stanford.edu/~hsong,ScoZZPsAAAAJ,3060.0,17.0
62,Tengyu Ma 0001,Stanford University,http://ai.stanford.edu/~tengyuma,i38QlUwAAAAJ,8438.0,42.0
63,Hao Su 0001,Univ. of California - San Diego,http://ai.ucsd.edu/~haosu,1P8Zu04AAAAJ,59467.0,50.0
64,Tsz-Chiu Au,UNIST,http://ai.unist.ac.kr/~chiu,2CTRfewAAAAJ,2863.0,18.0
65,Aibek Musaev,The University of Alabama,http://aibek.cs.ua.edu,cQPdjdgAAAAJ,321.0,9.0
66,Bernhard K. Aichernig,Graz University of Technology,http://aichernig.blogspot.com,O6dEPWYAAAAJ,2343.0,30.0
67,Mohammad Abdullah Al Faruque,Univ. of California - Irvine,http://aicps.eng.uci.edu,ejWHC-cAAAAJ,3724.0,31.0
68,Aidan Hogan,Universidad de Chile,http://aidanhogan.com,CP-fgY4AAAAJ,,
69,Deepak Khemani,IIT Madras,http://aidblab.cse.iitm.ac.in/khemani,NOSCHOLARPAGE,,
70,Kee-Eung Kim,KAIST,http://ailab.kaist.ac.kr/users/kekim,NOSCHOLARPAGE,,
71,Sungroh Yoon,Seoul National University,http://ailab.snu.ac.kr,Bphl_fIAAAAJ,7201.0,43.0
72,Aiman Hanna,Concordia University,http://aimanhanna.com/concordia,NOSCHOLARPAGE,,
73,Won Hwa Kim,POSTECH,http://aimi.postech.ac.kr/members,aWPSHNwAAAAJ,347.0,9.0
74,Otmar Hilliges,ETH Zurich,http://ait.ethz.ch/people/hilliges,NOSCHOLARPAGE,,
75,Dmitry Goldgof,University of South Florida,http://aivi.cse.usf.edu/~goldgof,yQS_n0gAAAAJ,17294.0,63.0
76,Britta Wrede,Bielefeld University,http://aiweb.techfak.uni-bielefeld.de/user/bwrede,VL0ejs0AAAAJ,5139.0,38.0
77,Gerhard Sagerer,Bielefeld University,http://aiweb.techfak.uni-bielefeld.de/user/sagerer,HDmPKX4AAAAJ,202.0,5.0
78,Allison J. B. Chaney,Duke University,http://ajbc.io/,EWlUGVcAAAAJ,786.0,7.0
79,B. Berk Ustundag,Istanbul Technical University,http://akademi.itu.edu.tr/bustundag,JJY3eIEAAAAJ,607.0,13.0
80,A. Sima Etaner-Uyar,Istanbul Technical University,http://akademi.itu.edu.tr/en/etaner,qvxemZwAAAAJ,1269.0,19.0
81,Hatice Kose,Istanbul Technical University,http://akademi.itu.edu.tr/en/hbkose,5X9jEXoAAAAJ,1624.0,19.0
82,Mehmet Tahir Sandikkaya,Istanbul Technical University,http://akademi.itu.edu.tr/en/sandikkaya,_d7K3TkAAAAJ,183.0,6.0
83,Gozde B. Unal,Istanbul Technical University,http://akademi.itu.edu.tr/en/unalgo,soanB6MAAAAJ,7486.0,35.0
